ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/3/4/0,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",0,,Volcanic ash probability,,,%,Operational,na
grib2/4/2/3/4/1,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",1,,Volcanic ash cloud top temperature,,,K,Operational,na
grib2/4/2/3/4/2,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",2,,Volcanic ash cloud top pressure,,,Pa,Operational,na
grib2/4/2/3/4/3,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",3,,Volcanic ash cloud top height,,,m,Operational,na
grib2/4/2/3/4/4,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",4,,Volcanic ash cloud emissivity,,,Numeric,Operational,na
grib2/4/2/3/4/5,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",5,,Volcanic ash effective absorption optical depth ratio,,,Numeric,Operational,na
grib2/4/2/3/4/6,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",6,,Volcanic ash cloud optical depth,,,Numeric,Operational,na
grib2/4/2/3/4/7,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",7,,Volcanic ash column density,,,kg m-2,Operational,na
grib2/4/2/3/4/8,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",8,,Volcanic ash particle effective radius,,,m,Operational,na
grib2/4/2/3/4/9-191,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",9-191,,Reserved,,,,Operational,na
grib2/4/2/3/4/192-254,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",192-254,,Reserved for local use,,,,Operational,na
grib2/4/2/3/4/255,Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",255,,Missing,,,,Operational,na
