ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/2/4/2/0,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",0,,Particle number density,,,m-3,Operational,na
grib2/4/2/4/2/1,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",1,,Electron density,,,m-3,Operational,na
grib2/4/2/4/2/2,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",2,,Proton density,,,m-3,Operational,na
grib2/4/2/4/2/3,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",3,,Ion density,,,m-3,Operational,na
grib2/4/2/4/2/4,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",4,,Vertical total electron content,,,TECU,Operational,na
grib2/4/2/4/2/5,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",5,,HF absorption frequency,,,Hz,Operational,na
grib2/4/2/4/2/6,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",6,,HF absorption,,,dB,Operational,na
grib2/4/2/4/2/7,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",7,,Spread F,,,m,Operational,na
grib2/4/2/4/2/8,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",8,,h'F,,,m,Operational,na
grib2/4/2/4/2/9,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",9,,Critical frequency,,,Hz,Operational,na
grib2/4/2/4/2/10,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",10,,Maximal usable frequency (MUF),,,Hz,Operational,na
grib2/4/2/4/2/11,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",11,,Peak height (hm),,,m,Operational,na
grib2/4/2/4/2/12,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",12,,Peak density (Nm),,,m-3,Operational,na
grib2/4/2/4/2/13,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",13,,Equivalent slab thickness (tau),,,km,Operational,na
grib2/4/2/4/2/14-191,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",14-191,,Reserved,,,,Operational,na
grib2/4/2/4/2/192-254,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",192-254,,Reserved for local use,,,,Operational,na
grib2/4/2/4/2/255,Parameter number by product discipline and parameter category,"Product discipline 4 - Space weather products, parameter category 2: charged particle mass and number",255,,Missing,,,,Operational,na
