ID,Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status,translation_source
grib2/4/9/0,Probability type,,0,,Probability of event below lower limit,,,,Operational,na
grib2/4/9/1,Probability type,,1,,Probability of event above upper limit,,,,Operational,na
grib2/4/9/2,Probability type,,2,,Probability of event between lower and upper limits (the range includes the lower limit but not the upper limit),,,,Operational,na
grib2/4/9/3,Probability type,,3,,Probability of event above lower limit,,,,Operational,na
grib2/4/9/4,Probability type,,4,,Probability of event below upper limit,,,,Operational,na
grib2/4/9/5,Probability type,,5,,Probability of event equal to lower limit,,,,Operational,na
grib2/4/9/6,Probability type,,6,,Probability of event in above normal category,(see Notes 1 and 2),"7,9",,Operational,na
grib2/4/9/7,Probability type,,7,,Probability of event in near normal category,(see Notes 1 and 2),"7,9",,Operational,na
grib2/4/9/8,Probability type,,8,,Probability of event in below normal category,(see Notes 1 and 2),"7,9",,Operational,na
grib2/4/9/9,Probability type,,9,,Probability based on counts of categorical boolean,(see Note 3),155,,Operational,na
grib2/4/9/10,Probability type,,10,,Probability of event within the quantile of the probability distribution function,(see Note 4),164,,Operational,na
grib2/4/9/11-191,Probability type,,11-191,,Reserved,,,,Operational,na
grib2/4/9/192-254,Probability type,,192-254,,Reserved for local use,,,,Operational,na
grib2/4/9/255,Probability type,,255,,Missing,,,,Operational,na
