id,Content_ru
GRIB/2/template/5.2/notes/1,"Длины групп не имеют значения для ряда при порядовой упаковке, когда группы являются линиями координат
(поэтому достаточно иметь раздел определения сетки и, возможно, раздел битового отображения); для согласован-
ности связанные с этим ширина поля и величина начала отсчета должны быть закодированы как 0."
GRIB/2/template/5.2/notes/2,"Для порядовой упаковки с битовым отображением всегда должно быть столько групп, сколько рядов. В случае рядов,
содержащих лишь отсут ствующие значения, все связанные с ними дескрипторы должны кодироваться как 0."
GRIB/2/template/5.2/notes/3,"Представление ширины в виде величины начала отсчета и инкрементов, наряду с представлением длины в виде
масштабированных величин инкремента, предназначены для того, чтобы сэкономить на размере дескриптора (что
является насущным вопросом, когда речь идет о коэффициентах уплотнения)."
GRIB/2/template/5.2/notes/4,"Представление явно отсутствующих значений является альтернативой использованию битового отображения в
раз-деле 6; оно предназначено для сокращения общего размера сообщения GRIB."
GRIB/2/template/5.2/notes/5,"Может быть два типа отсутствующих значений, в связи с чем нужно различать статистическое отсутствие (например,
когда поверхность земли/моря закрыта) и случайные пропуски."
GRIB/2/template/5.2/notes/6,"В качестве дополнительного варианта могут быть определены значения замен для отсутствующих данных. Если
такого намерения нет (или не применяется), все биты должны быть установлены на 1, для соответствующих значений
замены."
GRIB/2/template/5.2/notes/7,"Если значения замены определены, то характер их содержания должен согласовываться с первоначальными значени-
ями поля (32-битовое кодирование в стандарте IEEE с плавающей запятой, либо целое число).
(продолж.)
(Образец представления данных 5.2 — продолж.)"
GRIB/2/template/5.2/notes/8,"Если используются первичные отсутствующие значения, то они кодируются в пределах соответствующей группы со
всеми битами, установленными на 1, на уровне упакованных данных."
GRIB/2/template/5.2/notes/9,"Если используются вторичные отсутствующие значения, то они кодируются в пределах соответствующей группы
со всеми битами, установленными на 1, за исключением последнего, установленного на 0, на уровне упакованных
данных."
GRIB/2/template/5.2/notes/10,"Группа, содержащая лишь отсутствующие значения (либо другой тип), будет кодироваться как постоянная группа
(нулевая ширина, отсутствие ассоциированных данных), а величина начала отсчета группы будет иметь все биты,
установленные на 1 для первичного типа, и все биты, установленные на 1, за исключением последнего бита, установ-
ленного на 0, для вторичного типа."
GRIB/2/template/5.2/notes/11,"Если необходимо, ширина группы и/или ширина поля величины начала отсчета группы могут быть увеличены для
избежания двусмысленности между указателями отсутствующих значений и истинными данными. Шириной группы
является количество битов, используемых для каждого значения в группе."
GRIB/2/template/5.2/notes/13,"Длина группы (L) — это количество значений в группе."
GRIB/2/template/5.2/notes/14,"Смысл метода сложной упаковки состоит в том, чтобы подразделить поле величин на NG-группы, где величины в
каждой группе имеют близкие значения. При этой процедуре необходимо сохранить достаточно информации для
восстановления длин групп после декодирования. Длины групп NG для любого данного поля могут быть описаны
с помощью Ln = ref + Kn × len_inc, n = 1,NG, где ref дается в октетах 38–41, а len_inc — в октете 42. Величины NG
в К (масштабированные длины групп) хранятся в разделе данных, каждая с количеством битов, определенных в
октете 47. Поскольку последняя группа является особым случаем, который не сможет быть определен с помощью
этого соотношения, длина последней группы хранится в октетах 43–46."
GRIB/2/template/5.2/notes/15,"Для дополнительной информации cм. образец представления данных 7.2 и соответствующие примечания."
