ID,Title_fr,Subtitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/10/0/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",0,,Spectre des vagues (1),,,–,Operational,Original
grib2/4/2/10/0/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",1,,Spectre des vagues (2),,,–,Operational,Original
grib2/4/2/10/0/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",2,,Spectre des vagues (3),,,–,Operational,Original
grib2/4/2/10/0/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",3,,Hauteur significative de la houle et des vagues de la mer du vent,,,m,Operational,Original
grib2/4/2/10/0/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",4,,Direction des vagues de la mer du vent,,,Degré vrai,Operational,Original
grib2/4/2/10/0/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",5,,Hauteur significative des vagues de la mer du vent,,,m,Operational,Original
grib2/4/2/10/0/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",6,,Période moyenne des vagues de la mer du vent,,,s,Operational,Original
grib2/4/2/10/0/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",7,,Direction de la houle,,,Degré vrai,Operational,Original
grib2/4/2/10/0/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",8,,Hauteur significative de la houle,,,m,Operational,Original
grib2/4/2/10/0/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",9,,Période moyenne de la houle,,,s,Operational,Original
grib2/4/2/10/0/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",10,,Direction de la vague dominante,,,Degré vrai,Operational,Original
grib2/4/2/10/0/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",11,,Période moyenne de la vague dominante,,,s,Operational,Original
grib2/4/2/10/0/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",12,,Direction de la vague secondaire,,,Degré vrai,Operational,Original
grib2/4/2/10/0/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",13,,Période moyenne de la vague secondaire,,,s,Operational,Original
grib2/4/2/10/0/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",14,,Direction de la houle et des vagues de la mer du vent,,,Degré vrai,Operational,Original
grib2/4/2/10/0/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",15,,Période moyenne de la houle et des vagues de la mer du vent,,,s,Operational,Original
grib2/4/2/10/0/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 0: vagues",16,,Coefficient de frottement pour les vagues,,,–,Operational,Original
