Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status
Table de code 4.238 – Source ou puits,,0,,En réserve,,,,Operational
Table de code 4.238 – Source ou puits,,1,,Aéronautique,,,,Operational
Table de code 4.238 – Source ou puits,,2,,Éclair,,,,Operational
Table de code 4.238 – Source ou puits,,3,,Sources biogéniques,,,,Operational
Table de code 4.238 – Source ou puits,,4,,Sources anthropiques,,,,Operational
Table de code 4.238 – Source ou puits,,5,,Feux incontrôlés,,,,Operational
Table de code 4.238 – Source ou puits,,6,,Sources naturelles,,,,Operational
Table de code 4.238 – Source ou puits,,7,,Volcans,,,,Operational
Table de code 4.238 – Source ou puits,,8,,Biocombustibles,,,,Operational
Table de code 4.238 – Source ou puits,,9,,Combustibles fossiles,,,,Operational
Table de code 4.238 – Source ou puits,,10,,Zones humides,,,,Operational
Table de code 4.238 – Source ou puits,,11,,Océans,,,,Operational
Table de code 4.238 – Source ou puits,,12-191,,En réserve,,,,Operational
Table de code 4.238 – Source ou puits,,192-254,,En réserve pour un usage local,,,,Operational
Table de code 4.238 – Source ou puits,,255,,Valeur manquante,,,,Operational
