Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status
Table de code 4.5 – Type et unité des surfaces spécifiées,,0,,En réserve,,,,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,1,,Surface (terre ou eau),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,2,,Base des nuages (niveau),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,3,,Sommet des nuages (niveau),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,4,,Niveau isotherme 0 °C,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,5,,Niveau de condensation adiabatique à partir de la surface,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,6,,Niveau du vent maximal,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,7,,Tropopause,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,8,,Sommet nominal de l'atmosphère,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,9,,Fond de la mer,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,10,,Ensemble de l'atmosphère,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,11,,Base de cumulonimbus (CB),,,m,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,12,,Sommet de cumulonimbus (CB),,,m,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,13,,Niveau le plus bas auquel la nébulosité intégrée verticalement dépasse le pourcentage spécifié (base des nuages pour une nébulosité donnée),,,%,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,14,,Niveau de convection libre (NCL),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,15,,Niveau de condensation par convection (NCC),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,16,,Niveau de flottabilité neutre ou niveau d'équilibre (LNB),,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,17-19,,En réserve,,,,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,20,,Niveau isotherme,,,K,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,21,,Niveau le plus bas où la masse volumique dépasse la valeur spécifiée (base pour un seuil donné de masse volumique),,,kg m-3,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,22,,Niveau le plus élevé où la masse volumique dépasse la valeur spécifiée (sommet pour un seuil donné de masse volumique),,,kg m-3,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,23,,Niveau le plus bas où la concentration dans l'air dépasse la valeur spécifiée (base pour un seuil donné de concentration dans l'air),,,Bq m-3,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,24,,Niveau le plus élevé où la concentration dans l'air dépasse la valeur spécifiée (sommet pour un seuil donné de concentration dans l'air),,,Bq m-3,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,25,,Niveau le plus élevé où la réflectivité radar est supérieure à la valeur indiquée (sommet de l'écho pour un seuil donné de réflectivité),,,dBZ,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,26-99,,En réserve,,,,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,100,,Surface isobare,,,Pa,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,101,,Niveau moyen de la mer,,,–,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,102,,Altitude spécifiée (au-dessus du niveau moyen de la mer),,,m,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,103,,Hauteur spécifiée (au-dessus du sol),,,m,Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,104,,Niveau sigma,,,"Valeur ""sigma""",Operational
Table de code 4.5 – Type et unité des surfaces spécifiées,,105,,Niveau hybride,,,–,Operational
