ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/213/0,Type de sol,,0,,En réserve,,,,Operational,PDF
grib2/4/213/1,Type de sol,,1,,Sable,,,,Operational,PDF
grib2/4/213/2,Type de sol,,2,,Sable limoneux,,,,Operational,PDF
grib2/4/213/3,Type de sol,,3,,Limon sableux,,,,Operational,PDF
grib2/4/213/4,Type de sol,,4,,Limon,,,,Operational,PDF
grib2/4/213/5,Type de sol,,5,,Sol organique (redéfini),,,,Operational,PDF
grib2/4/213/6,Type de sol,,6,,Limon sablo-argileux,,,,Operational,PDF
grib2/4/213/7,Type de sol,,7,,Limon fin argileux,,,,Operational,PDF
grib2/4/213/8,Type de sol,,8,,Limon argileux,,,,Operational,PDF
grib2/4/213/9,Type de sol,,9,,Argile sableuse,,,,Operational,PDF
grib2/4/213/10,Type de sol,,10,,Argile limoneuse,,,,Operational,PDF
grib2/4/213/11,Type de sol,,11,,Argile,,,,Operational,PDF
grib2/4/213/12-191,Type de sol,,12-191,,En réserve,,,,Operational,PDF
grib2/4/213/192-254,Type de sol,,192-254,,En réserve pour un usage local,,,,Operational,PDF
grib2/4/213/255,Type de sol,,255,,Valeur manquante,,,,Operational,PDF
