"Title_fr","Subtitle_fr","CodeFlag","Value","MeaningParameterDescription_fr","Note_fr","noteIDs","UnitComments_fr","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","0","","Proportion de glace","","","Proportion","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","1","","Épaisseur de la glace","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","2","","Direction de la dérive de la glace","","","Degré vrai","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","3","","Vitesse de la dérive de la glace","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","4","","Composante u de la dérive de la glace","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","5","","Composante v de la dérive de la glace","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","6","","Taux de croissance de la glace","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","7","","Divergence de la glace","","","s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","8","","Température de la glace","","","K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","9","","Module de la pression interne dans la glace*","","","Pa m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","10","","Composante vectorielle zonale de la pression interne de la glace intégrée verticalement","","","Pa m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","11","","Composante vectorielle méridienne de la pression interne de la glace intégrée verticalement","","","Pa m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","12","","Résistance de la glace à la compression","","","N m-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","13-191","","En réserve","","","–","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","192-254","","En réserve pour un usage local","","","–","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 10 — Produits océanographiques, Catégorie de paramètres 2: glace","255","","Valeur manquante","","","–","Operational"
