ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/4/4/0,Numéro de paramètre par discipline de produit et catégorie de paramètre,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",0,,Flux de protons (différentiel),,,(m2 s sr eV)-1,Operational,AI Engine
grib2/4/2/4/4/1,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",1,,Flux de protons (intégral),,,( m² s sr )⁻¹,Operational,AI Engine
grib2/4/2/4/4/2,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",2,,Flux d'électrons (différentiel),,,(m2 s sr eV)-1,Operational,AI Engine
grib2/4/2/4/4/3,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",3,,Flux d'électrons (intégral),,,(1 m² s sr)⁻¹,Operational,AI Engine
grib2/4/2/4/4/4,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 4 : particules énergétiques",4,,Flux d'ions lourds (différentiel),,,(m2 s sr eV/nuc)-1,Operational,AI Engine
grib2/4/2/4/4/5,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",5,,Flux d'ions lourds (intégral),,,(1 m² s sr)⁻¹,Operational,AI Engine
grib2/4/2/4/4/6,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",6,,Flux de neutrons des rayons cosmiques,,,h-1,Operational,AI Engine
grib2/4/2/4/4/7-191,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",7-191,,En réserve,,,,Operational,AI Engine
grib2/4/2/4/4/192-254,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",192-254,,En réserve pour un usage local,,,,Operational,AI Engine
grib2/4/2/4/4/255,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètres 4 : particules énergétiques",255,,Valeur manquante,,,,Operational,AI Engine
