ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/0/0/0,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",0,,Température,,,K,Operational,PDF
grib2/4/2/0/0/1,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",1,,Température virtuelle,,,K,Operational,PDF
grib2/4/2/0/0/2,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",2,,Température potentielle,,,K,Operational,PDF
grib2/4/2/0/0/3,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",3,,Température pseudo-adiabatique potentielle ou température potentielle équivalente,,,K,Operational,PDF
grib2/4/2/0/0/4,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",4,,Température maximale,(voir la note 1),1,K,Deprecated,PDF
grib2/4/2/0/0/5,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",5,,Température minimale,(voir la note 1),1,K,Deprecated,PDF
grib2/4/2/0/0/6,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",6,,Température du point de rosée,,,K,Operational,PDF
grib2/4/2/0/0/7,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",7,,Dépression du point de rosée,,,K,Operational,PDF
grib2/4/2/0/0/8,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",8,,Gradient vertical de température,,,K m-1,Operational,PDF
grib2/4/2/0/0/9,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",9,,Anomalie de température,,,K,Operational,PDF
grib2/4/2/0/0/10,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",10,,Flux résultant de chaleur latente,,,W m-2,Operational,PDF
grib2/4/2/0/0/11,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",11,,Flux résultant de chaleur sensible,,,W m-2,Operational,PDF
grib2/4/2/0/0/12,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",12,,Indice thermique,,,K,Operational,PDF
grib2/4/2/0/0/13,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",13,,Indice de refroidissement du vent,,,K,Operational,PDF
grib2/4/2/0/0/14,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",14,,Dépression minimale du point de rosée,(voir la note 1),1,K,Deprecated,PDF
grib2/4/2/0/0/15,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",15,,Température potentielle virtuelle,,,K,Operational,PDF
grib2/4/2/0/0/16,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",16,,Flux de chaleur résultant d'un changement de phase de la neige,,,W m-2,Operational,PDF
grib2/4/2/0/0/17,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",17,,Température pelliculaire,,,K,Operational,PDF
grib2/4/2/0/0/18,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",18,,Température de la neige (en surface),,,K,Operational,PDF
grib2/4/2/0/0/19,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",19,,Coefficient de transfert thermique en régime turbulent,,,Numérique,Operational,PDF
grib2/4/2/0/0/20,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",20,,Coefficient de diffusion thermique par la turbulence,,,m² s-1,Operational,PDF
grib2/4/2/0/0/21,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",21,,Température apparente,(voir la note 2),30,K,Operational,PDF
grib2/4/2/0/0/22,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 0: température",22,,Tendance de la température découlant du rayonnement de courte longueur d'onde,,,K s-1,Operational,PDF
