ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/4/6/0,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",0,,Irradiance solaire intégrée,,,W m-2,Operational,AI Engine
grib2/4/2/4/6/1,Numéro de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",1,,Flux de rayons X solaires (XRS long),,,W m-2,Operational,AI Engine
grib2/4/2/4/6/2,"""Nombre de paramètres par discipline de produit et catégorie de paramètres""","Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",2,,Flux de rayons X solaires (XRS).,,,W m-2,Operational,AI Engine
grib2/4/2/4/6/3,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",3,,Irradiance solaire EUV,,,W m-2,Operational,AI Engine
grib2/4/2/4/6/4,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",4,,Irradiance spectrale solaire,,,W m-2 nm-1,Operational,AI Engine
grib2/4/2/4/6/5,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",5,,F10.7,,,W m⁻² Hz⁻¹,Operational,AI Engine
grib2/4/2/4/6/6,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",6,,Émissions radio solaires,,,W m⁻² Hz⁻¹,Operational,AI Engine
grib2/4/2/4/6/7-191,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",7-191,,En réserve,,,,Operational,AI Engine
grib2/4/2/4/6/192-254,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",192-254,,En réserve pour un usage local,,,,Operational,AI Engine
grib2/4/2/4/6/255,Nombre de paramètres par discipline de produit et catégorie de paramètres,"Discipline de produit 4 - Produits de météorologie spatiale, catégorie de paramètre 6 : émissions électromagnétiques solaires",255,,Valeur manquante,,,,Operational,AI Engine
