"Title_fr","Subtitle_fr","CodeFlag","Value","MeaningParameterDescription_fr","Note_fr","noteIDs","UnitComments_fr","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","0",,"Probabilité de ciel clair",,,"%","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","1",,"Température au sommet des nuages",,,"K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","2",,"Pression au sommet des nuages",,,"Pa","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","3",,"Type de nuage",,,"(Table de code 4.218)","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","4",,"Phase des nuages",,,"(Table de code 4.218)","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","5",,"Épaisseur optique du nuage",,,"Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","6",,"Rayon effectif des particules formant les nuages",,,"m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","7",,"Colonne d'eau liquide dans les nuages",,,"kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","8",,"Colonne d'eau solide dans les nuages",,,"kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","9",,"Albédo des nuages",,,"Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","10",,"Émissivité des nuages",,,"Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","11",,"Rapport de l'épaisseur optique d'absorption effective",,,"Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","30",,"Coût des mesures",,,"Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","31",,"Épaisseur optique des nuages de la couche supérieure",,,"Numérique","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","32",,"Pression au sommet des nuages de la couche supérieure",,,"Pa","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","33",,"Rayon effectif des nuages de la couche supérieure",,,"m","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","34",,"Erreur concernant l'épaisseur optique des nuages de la couche supérieure",,,"Numérique","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","35",,"Erreur concernant la pression au sommet des nuages de la couche supérieure",,,"Pa","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","36",,"Erreur concernant le rayon effectif des nuages de la couche supérieure",,,"m","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","37",,"Épaisseur optique des nuages de la couche inférieure",,,"Numérique","Deprecated"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 2: propriétés des nuages","38",,"Pression au sommet des nuages de la couche inférieure",,,"Pa","Deprecated"
