Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status
Table de code 4.224 – Perspective catégorielle,,0,,Zone présentant un risque nul,,,,Operational
Table de code 4.224 – Perspective catégorielle,,1,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,2,,Zone présentant un risque d'orage ordinaire,,,,Operational
Table de code 4.224 – Perspective catégorielle,,3,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,4,,Zone présentant un risque faible,,,,Operational
Table de code 4.224 – Perspective catégorielle,,5,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,6,,Zone présentant un risque modéré,,,,Operational
Table de code 4.224 – Perspective catégorielle,,7,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,8,,Zone présentant un risque élevé,,,,Operational
Table de code 4.224 – Perspective catégorielle,,9-10,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,11,,Zone présentant un risque d'orage (éclairs) sans précipitations,,,,Operational
Table de code 4.224 – Perspective catégorielle,,12-13,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,14,,Zone présentant un risque très important,,,,Operational
Table de code 4.224 – Perspective catégorielle,,15-17,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,18,,Zone présentant un risque extrêmement important,,,,Operational
Table de code 4.224 – Perspective catégorielle,,19-254,,En réserve,,,,Operational
Table de code 4.224 – Perspective catégorielle,,255,,Valeur manquante,,,,Operational
