ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/0/15/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",0,,Largeur du spectre de base,,,m s-1,Operational,Original
grib2/4/2/0/15/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",1,,Réflectivité de base,,,dB,Operational,Original
grib2/4/2/0/15/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",2,,Vitesse radiale de base,,,m s-1,Operational,Original
grib2/4/2/0/15/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",3,,Contenu en eau liquide intégré verticalement (VIL),,,kg m-2,Operational,Original
grib2/4/2/0/15/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",4,,Réflectivité maximale de base de la couche,,,dB,Operational,Original
grib2/4/2/0/15/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",5,,Précipitations,,,kg m-2,Operational,Original
grib2/4/2/0/15/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",6,,Bande radar (1),,,–,Operational,Original
grib2/4/2/0/15/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",7,,Bande radar (2),,,–,Operational,Original
grib2/4/2/0/15/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",8,,Bande radar (3),,,–,Operational,Original
grib2/4/2/0/15/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",9,,Réflectivité des gouttelettes dans les nuages,,,dB,Operational,Original
grib2/4/2/0/15/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",10,,Réflectivité de la glace dans les nuages,,,dB,Operational,Original
grib2/4/2/0/15/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",11,,Réflectivité de la neige,,,dB,Operational,Original
grib2/4/2/0/15/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",12,,Réflectivité de la pluie,,,dB,Operational,Original
grib2/4/2/0/15/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",13,,Réflectivité de la neige roulée,,,dB,Operational,Original
grib2/4/2/0/15/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",14,,Réflectivité de la grêle,,,dB,Operational,Original
grib2/4/2/0/15/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",15,,Réflectivité par balayage hybride,,,dB,Operational,Original
grib2/4/2/0/15/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",16,,Altitude de la réflectivité par balayage hybride,,,m,Operational,Original
grib2/4/2/0/15/17-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",17-191,,En réserve,,,,Operational,Original
grib2/4/2/0/15/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/2/0/15/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 15: radar",255,,Valeur manquante,,,,Operational,Original
