"Title_fr","Subtitle_fr","CodeFlag","Value","MeaningParameterDescription_fr","Note_fr","noteIDs","UnitComments_fr","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","0","","Estimation des précipitations","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","1","","Intensité instantanée des précipitations","","","kg m-2s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","2","","Altitude du sommet des nuages","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","3","","Indicateur de qualité – Altitude du sommet des nuages","","","(Table de code 4.219)","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","4","","Composante u du vent – Estimation","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","5","","Composante v du vent – Estimation","","","m s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","6","","Nombre de pixels utilisés","","","Numérique","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","7","","Distance zénithale du soleil","","","°","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","8","","Azimut relatif","","","°","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","9","","Réflectance dans le canal de 0,6 micron","","","%","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","10","","Réflectance dans le canal de 0,8 micron","","","%","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 3 – Produits spatiaux, Catégorie de paramètres 1: produits quantitatifs","11","","Réflectance dans le canal de 1,6 micron","","","%","Operational"
