ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/0/19/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",0,,Visibilité,,,m,Operational,Original
grib2/4/2/0/19/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",1,,Albédo,,,%,Operational,Original
grib2/4/2/0/19/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",2,,Probabilité d'orages,,,%,Operational,Original
grib2/4/2/0/19/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",3,,Épaisseur de la couche de mélange,,,m,Operational,Original
grib2/4/2/0/19/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",4,,Cendres volcaniques,,,(Table de code 4.206),Operational,Original
grib2/4/2/0/19/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",5,,Sommet du givrage,,,m,Operational,Original
grib2/4/2/0/19/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",6,,Base du givrage,,,m,Operational,Original
grib2/4/2/0/19/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",7,,Givrage,,,(Table de code 4.207),Operational,Original
grib2/4/2/0/19/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",8,,Sommet de la turbulence,,,m,Operational,Original
grib2/4/2/0/19/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",9,,Base de la turbulence,,,m,Operational,Original
grib2/4/2/0/19/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",10,,Turbulence,,,(Table de code 4.208),Operational,Original
grib2/4/2/0/19/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",11,,Énergie cinétique de turbulence,,,J kg-1,Operational,Original
grib2/4/2/0/19/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",12,,Régime de la couche limite planétaire,,,(Table de code 4.209),Operational,Original
grib2/4/2/0/19/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",13,,Intensité de la traînée de condensation,,,(Table de code 4.210),Operational,Original
grib2/4/2/0/19/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",14,,Traînée de condensation selon le réacteur,,,(Table de code 4.211),Operational,Original
grib2/4/2/0/19/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",15,,Sommet de la traînée de condensation,,,m,Operational,Original
grib2/4/2/0/19/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",16,,Base de la traînée de condensation,,,m,Operational,Original
grib2/4/2/0/19/17,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",17,,Albédo maximal de la neige,(voir la note 1),,%,Operational,Original
grib2/4/2/0/19/18,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",18,,Albédo – surface sans neige,,,%,Operational,Original
grib2/4/2/0/19/19,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",19,,Albédo de la neige,,,%,Operational,Original
grib2/4/2/0/19/20,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",20,,Givrage,,,%,Operational,Original
grib2/4/2/0/19/21,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",21,,Turbulence dans les nuages,,,%,Operational,Original
grib2/4/2/0/19/22,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",22,,Turbulence en ciel clair,,,%,Operational,Original
grib2/4/2/0/19/23,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",23,,Probabilité de grosses gouttes d'eau surfondues,(voir la note 2),,%,Operational,Original
grib2/4/2/0/19/24,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",24,,Énergie cinétique turbulente de convection,,,J kg-1,Operational,Original
grib2/4/2/0/19/25,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",25,,Conditions météorologiques,,,(Table de code 4.225),Operational,Original
grib2/4/2/0/19/26,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",26,,Perspective de convection,,,(Table de code 4.224),Operational,Original
grib2/4/2/0/19/27,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",27,,Scénario de givrage,,,(Table de code 4.227),Operational,Original
grib2/4/2/0/19/28,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",28,,Turbulence orographique (taux de dissipation des tourbillons),,,m2/3 s-1,Operational,Original
grib2/4/2/0/19/29,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",29,,Turbulence en air clair,,,m2/3 s-1,Operational,Original
grib2/4/2/0/19/30,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",30,,Paramètre de dissipation des tourbillons,(voir la note 3),,m2/3 s-1,Operational,Original
grib2/4/2/0/19/31,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 19: propriétés physiques de l'atmosphère",31,,Maximum du paramètre de dissipation des tourbillons par couche,,,m2/3 s-1,Operational,Original
