ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/212/0,Utilisation du sol,,0,,En réserve,,,,Operational,PDF
grib2/4/212/1,Utilisation du sol,,1,,Terrain urbain,,,,Operational,PDF
grib2/4/212/2,Utilisation du sol,,2,,Agriculture,,,,Operational,PDF
grib2/4/212/3,Utilisation du sol,,3,,Terrain de parcours,,,,Operational,PDF
grib2/4/212/4,Utilisation du sol,,4,,Forêt caducifoliée,,,,Operational,PDF
grib2/4/212/5,Utilisation du sol,,5,,Forêt de conifères,,,,Operational,PDF
grib2/4/212/6,Utilisation du sol,,6,,Forêt/marécage,,,,Operational,PDF
grib2/4/212/7,Utilisation du sol,,7,,Eau,,,,Operational,PDF
grib2/4/212/8,Utilisation du sol,,8,,Marécages,,,,Operational,PDF
grib2/4/212/9,Utilisation du sol,,9,,Désert,,,,Operational,PDF
grib2/4/212/10,Utilisation du sol,,10,,Toundra,,,,Operational,PDF
grib2/4/212/11,Utilisation du sol,,11,,Glace,,,,Operational,PDF
grib2/4/212/12,Utilisation du sol,,12,,Forêt tropicale,,,,Operational,PDF
grib2/4/212/13,Utilisation du sol,,13,,Savane,,,,Operational,PDF
grib2/4/212/14-191,Utilisation du sol,,14-191,,En réserve,,,,Operational,PDF
grib2/4/212/192-254,Utilisation du sol,,192-254,,En réserve pour un usage local,,,,Operational,PDF
grib2/4/212/255,Utilisation du sol,,255,,Valeur manquante,,,,Operational,PDF
