ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/0/1/0,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",0,,Humidité spécifique,,,kg kg-1,Operational,PDF
grib2/4/2/0/1/1,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",1,,Humidité relative,,,%,Operational,PDF
grib2/4/2/0/1/2,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",2,,Rapport de mélange,,,kg kg-1,Operational,PDF
grib2/4/2/0/1/3,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",3,,Eau précipitable,,,kg m-2,Operational,PDF
grib2/4/2/0/1/4,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",4,,Tension de vapeur,,,Pa,Operational,PDF
grib2/4/2/0/1/5,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",5,,Déficit de saturation,,,Pa,Operational,PDF
grib2/4/2/0/1/6,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",6,,Évaporation,,,kg m-2,Operational,PDF
grib2/4/2/0/1/7,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",7,,Intensité des précipitations,(voir la note 1),1,kg m-2 s-1,Deprecated,PDF
grib2/4/2/0/1/8,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",8,,Total des précipitations,(voir la note 3),2,kg m-2,Deprecated,PDF
grib2/4/2/0/1/9,Table de code 4.2 — Numéro de paramètre par domaine de spécialisation et catégorie de paramètre,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 1: humidité",9,,Précipitations à grande échelle (non engendrées par la convection),(voir la note 3),2,kg m-2,Deprecated,PDF
