"Title_fr","Subtitle_fr","CodeFlag","Value","MeaningParameterDescription_fr","Note_fr","noteIDs","UnitComments_fr","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","0","","Concentration dans l'air du césium 137","","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","1","","Concentration dans l'air de l'iode 131","","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","2","","Concentration dans l'air du polluant radioactif","","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","3","","Dépôt au sol du césium 137","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","4","","Dépôt au sol de l'iode 131","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","5","","Dépôt au sol du polluant radioactif","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","6","","Concentration dans l'air du césium 137, intégrée dans le temps","(voir la note 1)","","Bq s m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","7","","Concentration dans l'air de l'iode 131, intégrée dans le temps (voi la note 1)","","","Bq s m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","8","","Concentration dans l'air du polluant radioactif, intégrée dans le temps","(voir la note 1)","","Bq s m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","9","","En réserve","","","","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","10","","Concentration dans l'air","(voir la note 2)","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","11","","Dépôts humides","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","12","","Dépôts secs","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","13","","Total des dépôts (humides et secs)","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","14","","Activité massique","(voir la note 2)","","Bq kg-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","15","","Concentration maximale dans l'air par couche","","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","16","","Hauteur de la concentration maximale dans l'air","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","17","","Concentration dans l'air intégrée sur la colonne","","","Bq m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","18","","Concentration dans l'air par couche moyennée sur la colonne","","","Bq m-3","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","19-191","","En réserve","","","","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","192-254","","En réserve pour un usage local","","","","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 18: radiations","255","","Valeur manquante","","","","Operational"
