ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/2/4/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",0,,Perspective d'incendie,,,Table de code 4.224,Operational,Original
grib2/4/2/2/4/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",1,,Perspective d'incendie due à un orage sans précipitations,,,Table de code 4.224,Operational,Original
grib2/4/2/2/4/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",2,,Indice de Haines,,,Numérique,Operational,Original
grib2/4/2/2/4/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",3,,Superficie brûlée par des incendies,,,%,Operational,Original
grib2/4/2/2/4/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",4,,Indice de Fosberg*,,,Numérique,Operational,Original
grib2/4/2/2/4/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",5,,Indice de danger de feu de forêt (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",6,,Indice du combustible léger (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",7,,Indice d'humidité de l'humus (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",8,,Indice de sécheresse (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",9,,Indice de propagation initiale (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",10,,Indice du combustible disponible (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",11,,Indice journalier de sévérité (Service canadien des forêts),,,Numérique,Operational,Original
grib2/4/2/2/4/12-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",12-191,,En réserve,,,,Operational,Original
grib2/4/2/2/4/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/2/2/4/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 2 – Produits pour la surface des terres, Catégorie de paramètres 4: produits relatifs aux conditions météorologiques propices aux incendies",255,,Valeur manquante,,,,Operational,Original
