"Title_fr","Subtitle_fr","CodeFlag","Value","MeaningParameterDescription_fr","Note_fr","noteIDs","UnitComments_fr","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","0","","Profondeur de l'eau","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","1","","Température de l'eau","","","K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","2","","Fraction d'eau","","","Proportion","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","3","","Épaisseur des sédiments","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","4","","Température des sédiments","","","K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","5","","Épaisseur de la glace","","","m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","6","","Température de la glace","","","K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","7","","Proportion de glace","","","Proportion","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","8","","Proportion de terre (0 = eau, 1 = terre)","","","Proportion","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","9","","Facteur de forme par rapport au profil de salinité","","","–","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","10","","Facteur de forme par rapport au profil de température au niveau de la thermocline","","","–","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","11","","Coefficient d'atténuation du rayonnement solaire par l'eau","","","m-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","12","","Salinité","","","kg kg-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 2: propriétés des eaux intérieures et des sédiments","13","","Section droite de l'écoulement dans le lit","","","m²","Operational"
