ID,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",0,,Tipo de suelo,,,Tabla de cifrado 4.213,Operational,translated_by
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",1,,Temperatura de la capa superior del suelo,,,K,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",2,,Contenido de humedad de la capa superior del suelo,,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",3,,Contenido de humedad de la capa inferior del suelo,,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",4,,Temperatura de la capa inferior del suelo,,,K,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",5,,Proporción volumétrica líquida del suelo (sin congelación),,,Humedad,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",6,,Número de capas de suelo en zona radicular,,,Numérica,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",7,,Aparición de esfuerzo de transpiración (humedad del suelo),,,Proporción,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",8,,Cese de evaporación directa (humedad del suelo),,,Proporción,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",9,,Porosidad del suelo,,,Proporción,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",10,,Humedad volumétrica líquida del suelo (sin congelación),,,m-3 m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",11,,Aparición de esfuerzo de transpiración volumétrica (humedad del suelo),,,m-3 m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",12,,Aparición de esfuerzo de transpiración (humedad del suelo),,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",13,,Cese de evaporación directa volumétrica (humedad del suelo),,,m-3 m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",14,,Cese de evaporación directa (humedad del suelo),,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",15,,Porosidad del suelo,,,m-3 m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",16,,Saturación volumétrica de la humedad del suelo,,,m-3 m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",17,,Saturación de la humedad del suelo,,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",18,,Temperatura del suelo,,,K,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",19,,Humedad del suelo,,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",20,,Humedad del suelo integrada en columna,,,kg m-2,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",21,,Hielo del suelo,,,kg m-3,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",22,,Hielo en el suelo integrado en columna,,,kg m-2,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",23,,Agua en estado líquido en la capa total de nieve,,,Kg m-2,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",24,,Índice de helada,,,K día-1,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",25,,Espesor de la nieve en distintas bandas de elevación,,,kg m-2,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",26,,Flujo de calor del suelo,,,W m-2,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",27,,Profundidad del suelo,,,m,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",28,,Temperatura de la nieve,,,K,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",29,,Temperatura del hielo,,,K,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",255,,Valor faltante,,,,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",192-254,,Reservados para uso local,,,,Operational,Original
grib2/4/2/2/3/,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 2 — Productos para la superficie terrestre, categoría de parámetros 3: productos relativos a los suelos",30-191,,Reservados,,,,Operational,Original
grib2/4/2/2/3/,Title_es,SubTitle_es,CodeFlag,noteIDs,MeaningParameterDescription_es,noteIDs,noteIDs,UnitComments_es,Status,Original
