ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translated_by
grib2/4/2/10/4/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",0,,Profundidad de la termoclina principal,,,m,Operational,Original
grib2/4/2/10/4/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",1,,Anomalía de la termoclina principal,,,m,Operational,Original
grib2/4/2/10/4/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",2,,Profundidad de la termoclina transitoria,,,m,Operational,Original
grib2/4/2/10/4/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",3,,Salinidad,,,kg kg-1,Operational,Original
grib2/4/2/10/4/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",4,,Difusividad térmica vertical oceánica,,,m² s-1,Operational,Original
grib2/4/2/10/4/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",5,,Difusividad vertical oceánica de la sal,,,m² s-1,Operational,Original
grib2/4/2/10/4/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",6,,Difusividad vertical oceánica de impulso,,,m² s-1,Operational,Original
grib2/4/2/10/4/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",7,,Batímetro,,,m,Operational,Original
grib2/4/2/10/4/8-10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",8-10,,Reservados,,,,Operational,Original
grib2/4/2/10/4/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 10 — Productos oceanográficos, categoría de parámetros 4: propiedades subsuperficiales",11,,Factor de forma respecto del perfil de salinidad,,,—,Operational,Original
