Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",0,,Densidad másica (concentración),,,kg m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",1,,Densidad másica integrada en columna,(véase la nota 1),,kg m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",2,,Coeficiente de mezclado másico (fracción de masa en el aire),,,kg kg-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",3,,Flujo másico de emisión atmosférica,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",4,,Flujo másico de producción neta atmosférica,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",5,,Flujo másico de producción neta y emisión atmosféricas,,,kg -2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",6,,Flujo másico de deposición seca en superficie,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",7,,Flujo másico de deposición húmeda en superficie,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",8,,Flujo másico de reemisión atmosférica,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",9,,Flujo másico de deposición húmeda por precipitación en gran escala,,,kg m-2 s-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 20: componentes químicos atmosféricos",10,,Flujo másico de deposición húmeda por precipitación convectiva,,,kg m-2 s-1,Operational
