Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,0,,"Datos en los puntos de la retícula, empaquetado simple",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,1,,"Valor de las matrices en los puntos de la retícula, empaquetado simple",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,2,,"Datos en los puntos de la retícula, empaquetado complejo",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,3,,"Datos en los puntos de la retícula, empaquetado complejo y diferenciación espacial",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,4,,"Datos en los puntos de la retícula, datos de coma flotante IEEE",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,5-39,,Reservadas,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,40,,Datos en los puntos de la retícula – Formato de tren de datos codificados JPEG 2000,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,41,,Datos en los puntos de la retícula - Formato PNG (Portable Network Graphics),,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,42,,Datos reticulares - Compresión sin pérdidas recomendada por el CCSDS,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,43-49,,Reservadas,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,50,,"Datos espectrales, empaquetado simple",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,51,,"Datos de armónicos esféricos, empaquetado complejo",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,52,,Reservada,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,53,,"Datos espectrales para modelos de área limitada, empaquetado complejo",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,54-60,,Reservadas,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,61,,"Datos en los puntos de la retícula, empaquetado simple con precálculo logarítmico",,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,62-49151,,Reservadas,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,49152-65534,,Reservadas para uso local,,,,Operational
Tabla de cifrado 5.0 - Número del modelo de representación de los datos,,65535,,Valor faltante,,,,Operational
