"Title_es","SubTitle_es","CodeFlag","Value","MeaningParameterDescription_es","Note_es","noteIDs","UnitComments_es","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","0",,"Profundidad del agua",,,"m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","1",,"Temperatura del agua",,,"K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","2",,"Fracción de agua",,,"Proporción","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","3",,"Espesor de los sedimentos",,,"m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","4",,"Temperatura de los sedimentos",,,"K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","5",,"Espesor del hielo",,,"m","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","6",,"Temperatura del hielo",,,"K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","7",,"Cobertura de hielo",,,"Proporción","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","8",,"Cobertura terrestre (0=agua, 1=tierra)",,,"Proporción","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","9",,"Factor de forma respecto del perfil de salinidad",,,"—","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","10",,"Factor de forma respecto del perfil de temperatura en la termoclina",,,"—","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","11",,"Coeficiente de atenuación del agua respecto de la radiación solar",,,"m-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","12",,"Salinidad",,,"Kg Kg-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","13",,"Sección transversal de flujo en el caudal",,,"m²","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","14",,"Temperatura de la nieve",,,"K","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","15-191",,"Reservados",,,,"Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","192-254",,"Reservados para uso local",,,,"Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 2: aguas interiores y propiedades de los sedimentos","255",,"Valor faltante",,,,"Operational"
