Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.214 – Calificador de factores ambientales,,0,,Pésimo,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,1,,Muy malo,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,2,,Malo,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,3,,Regular,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,4,,Bueno,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,5,,Excelente,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,6-190,,Reservadas,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,191,,Desconocida,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,192-254,,Reservadas para uso local,,,,Operational
Tabla de cifrado 4.214 – Calificador de factores ambientales,,255,,Valor faltante,,,,Operational
