ID,Title_es,CodeFlag,MeaningParameterDescription_es,UnitComments_es,SubTitle_es,Value,Note_es,noteIDs,Status,translation_source
grib2/4/0/0,Tabla de cifrado 4.0 — Número del modelo de definición del producto,0,Análisis o previsión para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/1,Tabla de cifrado 4.0 — Número del modelo de definición del producto,1,"Previsión de conjunto individual, de control y perturbada para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/2,Tabla de cifrado 4.0 — Número del modelo de definición del producto,2,"Previsiones derivadas, establecidas a partir de todos los miembros del conjunto para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/3,Tabla de cifrado 4.0 — Número del modelo de definición del producto,3,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona rectangular, para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/4,Tabla de cifrado 4.0 — Número del modelo de definición del producto,4,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona circular, para una superficie o capa horizontal en un momento dado",,,,,,Operational,Original
grib2/4/0/5,Tabla de cifrado 4.0 — Número del modelo de definición del producto,5,Previsiones de probabilidad para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/6,Tabla de cifrado 4.0 — Número del modelo de definición del producto,6,Previsiones en percentiles para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/7,Tabla de cifrado 4.0 — Número del modelo de definición del producto,7,Error de análisis o de previsión para una superficie o capa horizontal en un momento dado,,,,,,Operational,Original
grib2/4/0/8,Tabla de cifrado 4.0 — Número del modelo de definición del producto,8,"Valores medios, acumulados y/o extremos, u otros valores obtenidos por cálculo estadístico para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/9,Tabla de cifrado 4.0 — Número del modelo de definición del producto,9,Previsiones de probabilidad para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational,Original
grib2/4/0/10,Tabla de cifrado 4.0 — Número del modelo de definición del producto,10,Previsiones en percentiles para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Experimental,Original
grib2/4/0/11,Tabla de cifrado 4.0 — Número del modelo de definición del producto,11,"Previsión de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
grib2/4/0/12,Tabla de cifrado 4.0 — Número del modelo de definición del producto,12,"Previsiones derivadas, establecidas a partir de todos los miembros del conjunto, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational,Original
