Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.213 – Tipo de suelo,,0,,Reservada,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,1,,Arena,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,2,,Arena limosa,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,3,,Limo arenoso,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,4,,Limo lodoso,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,5,,Suelo orgánico (redefinido),,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,6,,Limo arcilloso arenoso,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,7,,Limo arenoso-lodoso,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,8,,Limo arcilloso,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,9,,Arcilla arenosa,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,10,,Arcilla limosa,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,11,,Arcilla,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,12-191,,Reservadas,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,192-254,,Reservadas para uso local,,,,Operational
Tabla de cifrado 4.213 – Tipo de suelo,,255,,Valor faltante,,,,Operational
