ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translated_by
grib2/4/2/3/2/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",0,,Probabilidad de cielo despejado,,,%,Operational,Original
grib2/4/2/3/2/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",1,,Temperatura de la cima de las nubes,,,K,Operational,Original
grib2/4/2/3/2/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",2,,Presión en la cima de las nubes,,,Pa,Operational,Original
grib2/4/2/3/2/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",3,,Tipo de nubes,,,Tabla de cifrado 4.218,Operational,Original
grib2/4/2/3/2/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",4,,Fase de las nubes,,,Tabla de cifrado 4.218,Operational,Original
grib2/4/2/3/2/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",5,,Profundidad óptica de las nubes,,,Numérica,Operational,Original
grib2/4/2/3/2/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",6,,Radio efectivo de las partículas de nube,,,m,Operational,Original
grib2/4/2/3/2/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",7,,Trayecto del agua líquida de las nubes,,,kg m-2,Operational,Original
grib2/4/2/3/2/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",8,,Trayecto del agua nevada de las nubes,,,kg m-2,Operational,Original
grib2/4/2/3/2/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",9,,Albedo de las nubes,,,Numérica,Operational,Original
grib2/4/2/3/2/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",10,,Emisividad de las nubes,,,Numérica,Operational,Original
grib2/4/2/3/2/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",11,,Coeficiente de profundidad óptica de absorción efectiva,,,Numérica,Operational,Original
grib2/4/2/3/2/30,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",30,,Costo de las mediciones,,,Numérica,Operational,Original
grib2/4/2/3/2/31,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",31,,Espesor óptico de las nubes de la capa superior,,,Numérica,Deprecated,Original
grib2/4/2/3/2/32,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",32,,Presión en la cima de las nubes de la capa superior,,,Pa,Deprecated,Original
grib2/4/2/3/2/33,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",33,,Radio terrestre efectivo de las nubes de la capa superior,,,m,Deprecated,Original
grib2/4/2/3/2/34,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",34,,Error en el espesor óptico de las nubes de la capa superior,,,Numérica,Deprecated,Original
grib2/4/2/3/2/35,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",35,,Error en la presión en la cima de las nubes de la capa superior,,,Pa,Deprecated,Original
grib2/4/2/3/2/36,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",36,,Error en el radio terrestre efectivo de las nubes de la capa superior,,,m,Deprecated,Original
grib2/4/2/3/2/37,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",37,,Espesor óptico de las nubes de la capa inferior,,,Numérica,Deprecated,Original
grib2/4/2/3/2/38,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",38,,Presión en la cima de las nubes de la capa inferior,,,Pa,Deprecated,Original
grib2/4/2/3/2/39,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",39,,Error en el espesor óptico de las nubes de la capa inferior,,,Numérica,Deprecated,Original
grib2/4/2/3/2/40,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 2: propiedades de las nubes",40,,Error en la presión en la cima de las nubes de la capa inferior,,,Pa,Deprecated,Original
