Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_en,Status
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,0,,Temperatura,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,1,,Humedad,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,2,,Impulso,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,3,,Masa,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,4,,Radiación de onda corta,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,5,,Radiación de onda larga,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,6,,Nubosidad,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,7,,Índices de estabilidad termodinámica,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,8,,Índices de estabilidad cinemática,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Deprecated
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,9,,Probabilidades de temperatura*,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Deprecated
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,10,,Probabilidades de humedad*,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Deprecated
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,11,,"Previsión de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Deprecated
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,12,,Probabilidades de impulso*,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Deprecated
Tabla de cifrado 4.1 — Categoría de parámetros por campo de especialización de los productos,Campo de especialización 0 — Productos meteorológicos,13,,Probabilidades de masa*,"Las entradas 9, 10, 11 y 12 quedan relegadas.",,,Operational
