ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translated_by
grib2/4/2/0/2/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",0,,Dirección del viento (de donde sopla el viento),,,Grado verdadero,Operational,Original
grib2/4/2/0/2/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",1,,Velocidad del viento,,,m s-1,Operational,Original
grib2/4/2/0/2/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",2,,Componente u del viento,,,m s-1,Operational,Original
grib2/4/2/0/2/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",3,,Componente v del viento,,,m s-1,Operational,Original
grib2/4/2/0/2/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",4,,Función de la corriente,,,m² s-1,Operational,Original
grib2/4/2/0/2/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",5,,Potencial de velocidad,,,m² s-1,Operational,Original
grib2/4/2/0/2/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",6,,Función de corriente de Montgomery,,,m² s-2,Operational,Original
grib2/4/2/0/2/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",7,,Velocidad vertical de coordenada sigma,,,s-1,Operational,Original
grib2/4/2/0/2/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",8,,Velocidad vertical (presión),,,Pa s-1,Operational,Original
grib2/4/2/0/2/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",9,,Velocidad vertical (geométrica),,,m s-1,Operational,Original
grib2/4/2/0/2/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",10,,Vorticidad absoluta,,,s-1,Operational,Original
grib2/4/2/0/2/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",11,,Divergencia absoluta,,,s-1,Operational,Original
grib2/4/2/0/2/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",12,,Vorticidad relativa,,,s-1,Operational,Original
grib2/4/2/0/2/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",13,,Divergencia relativa,,,s-1,Operational,Original
grib2/4/2/0/2/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",14,,Vorticidad potencial,,,K m² kg-1 s-1,Operational,Original
grib2/4/2/0/2/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",15,,Cizalladura vertical del componente u,,,s-1,Operational,Original
grib2/4/2/0/2/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",16,,Cizalladura vertical del componente v,,,s-1,Operational,Original
grib2/4/2/0/2/17,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",17,,"Flujo del impulso, componente u",,,N m-2,Operational,Original
grib2/4/2/0/2/18,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",18,,"Flujo del impulso, componente v",,,N m-2,Operational,Original
grib2/4/2/0/2/19,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",19,,Energía de la mezcla del viento,,,J,Operational,Original
grib2/4/2/0/2/20,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",20,,Disipación en la capa límite,,,W m-2,Operational,Original
grib2/4/2/0/2/21,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",21,,Velocidad máxima del viento,(véase la nota 1),,m s-1,Deprecated,Original
grib2/4/2/0/2/22,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",22,,Velocidad del viento (ráfagas),,,m s-1,Operational,Original
grib2/4/2/0/2/23,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",23,,Componente u del viento (ráfagas),,,m s-1,Operational,Original
grib2/4/2/0/2/24,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",24,,Componente v del viento (ráfagas),,,m s-1,Operational,Original
grib2/4/2/0/2/25,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",25,,Cizalladura vertical de la velocidad,,,s-1,Operational,Original
grib2/4/2/0/2/26,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",26,,Flujo del impulso horizontal,,,N m-2,Operational,Original
grib2/4/2/0/2/27,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",27,,Componente u del movimiento de la tormenta,,,m s-1,Operational,Original
grib2/4/2/0/2/28,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",28,,Componente v del movimiento de la tormenta,,,m s-1,Operational,Original
grib2/4/2/0/2/29,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 2: impulso",29,,Coeficiente de arrastre,,,Numérica,Operational,Original
