ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,,translation_source
grib2/4/2/0/1/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",0,,Humedad específica,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",1,,Humedad relativa,,,%,Operational,,Original
grib2/4/2/0/1/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",2,,Relación de mezcla de la humedad,,,kg kg-1,Operational,,Original
grib2/4/2/0/1/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",3,,Agua precipitable,,,kg m-2,Operational,,Original
grib2/4/2/0/1/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",4,,Presión de vapor,,,Pa,Operational,,Original
grib2/4/2/0/1/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",5,,Déficit de saturación,,,Pa,Operational,,Original
grib2/4/2/0/1/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",6,,Evaporación,,,kg m-2,Operational,,Original
grib2/4/2/0/1/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",7,,Tasa de precipitación,(véase la nota 1),,kg m-2 s-1,Deprecated,,Original
grib2/4/2/0/1/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",8,,Total de las precipitaciones,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",9,,Precipitaciones en gran escala (no convectivas),(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",10,,Precipitación convectiva,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",11,,Espesor de la nieve,,,m,Operational,,Original
grib2/4/2/0/1/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",12,,Equivalente en agua de la nieve caída,(véase la nota 1),,kg m-2 s-1,Deprecated,,Original
grib2/4/2/0/1/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",13,,Equivalente en agua del espesor de nieve acumulada,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",14,,Nieve convective,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",15,,Nieve en gran escala,(véase la nota 3),,kg m-2,Deprecated,,Original
grib2/4/2/0/1/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",16,,Nieve fundida,,,kg m-2,Operational,,Original
grib2/4/2/0/1/17,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",17,,Edad de la nieve,,,día,Operational,,Original
grib2/4/2/0/1/18,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",18,,Humedad absoluta,,,kg m-3,Operational,,Original
grib2/4/2/0/1/19,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",19,,Tipo de precipitación,,,Tabla de cifrado 4.201,Operational,,Original
grib2/4/2/0/1/20,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",20,,Agua líquida integrada,,,kg m-2,Operational,,Original
grib2/4/2/0/1/21,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 1: humedad",21,,Condensado,,,kg kg-1,Operational,,Original
