"Title_es","SubTitle_es","CodeFlag","Value","MeaningParameterDescription_es","Note_es","noteIDs","UnitComments_es","Status"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","0","","Aviso de crecida repentina (cifrado como acumulación durante un subintervalo de tiempo variable entre la hora de referencia y la hora de validez)","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","1","","Escorrentía de la crecida repentina(cifrado como acumulación durante un subintervalo de tiempo variable)","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","2","","Capa de nieve captada por teledetección","","","Tabla de cifrado 4.215","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","3","","Altitud del terreno cubierto de nieve","","","Tabla de cifrado 4.216","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","4","","Equivalente en agua de la nieve en porcentaje de valor normal","","","%","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","5","","Escorrentía básica de agua subterránea","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","6","","Escorrentía de tormenta en superficie","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","7","","Caudal de ríos o arroyos","","","m³ s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","8","","Almacenamiento superior de agua subterránea","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","9","","Almacenamiento inferior de agua subterránea","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","10","","Flujo secundario al cauce del río","","","m³ s-1 m-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","11","","Almacenamiento de agua del río","","","m³","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","12","","Almacenamiento de agua de la llanura de inundación","","","m³","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","13","","Profundidad del agua en la superficie del suelo","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","14","","Precipitación acumulada corriente arriba","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","15","","Fusión de la nieve acumulada corriente arriba","","","kg m-2","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","16","","Tasa de percolación","","","kg m-2 s-1","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","17-191","","Reservados","","","","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","192-254","","Reservados para uso local","","","","Operational"
"Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros","Campo de especialización 1 Productos hidrológicos, categoría de parámetros 0: productos","255","","Valor faltante","","","","Operational"
