Title_es,CodeFlag,MeaningParameterDescription_es,UnitComments_es,SubTitle_es,Value,Note_es,noteIDs,Status
Tabla de cifrado 4.0 — Número del modelo de definición del producto,0,Análisis o previsión para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,1,"Previsión de conjunto individual, de control y perturbada para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,2,"Previsiones derivadas, establecidas a partir de todos los miembros del conjunto para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,3,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona rectangular, para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,4,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona circular, para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,5,Previsiones de probabilidad para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,6,Previsiones en percentiles para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,7,Error de análisis o de previsión para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,8,"Valores medios, acumulados y/o extremos, u otros valores obtenidos por cálculo estadístico para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,9,Previsiones de probabilidad para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,10,Previsiones en percentiles para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,11,"Previsión de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,12,"Previsiones derivadas, establecidas a partir de todos los miembros del conjunto, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,13,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona rectangular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,14,"Previsiones derivadas, establecidas a partir de un grupo de miembros del conjunto, aplicadas a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,15,"Valores medios, acumulados y/o extremos, u otros valores obtenidos por cálculo estadístico para una superficie o capa horizontal sobre una zona en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,16-19,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,20,Producto de radar,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,21-29,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,30,Productos de satélite (relegado),,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,31,Producto de satélite,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,32,Análisis o predicción de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,33,"Predicción de conjunto individual, de control y perturbada, de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,34,"Predicción de conjunto individual, de control y perturbada, de datos satelitales (sintéticos) de simulación para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,35-39,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,40,Análisis o predicción para una superficie o capa horizontal y para un momento dado respecto de componentes químicos atmosféricos,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,41,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal y para un momento dado respecto de componentes químicos atmosféricos",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,42,"Valores promedios, acumulados y/o extremos, u otros procesados estadísticamente, para una superficie o capa horizontal y para un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,43,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal y para un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,44,Análisis o predicción para una superficie o capa horizontal en un momento dado respecto de aerosoles,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,45,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado respecto de aerosoles",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,46,"Valores promedios, acumulados y/o extremos, u otros obtenidos por cálculo estadístico, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,47,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de aerosoles",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,48,Análisis o predicción en un nivel o capa horizontal en un punto cronológico de las propiedades ópticas de un aerosol,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,49,"Predicción de conjunto individual, de control y perturbada, de las propiedades ópticas de un aerosol para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,50,Reservada,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,51,Predicciones categóricas para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,52,Reservada,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,53,Parámetros con particiones para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,54,"Predicción de conjunto individual, de control y perturbada, de parámetros con particiones para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,55,Cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,56,"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado (obsoleto)",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,57,Análisis o predicción para una superficie o capa horizontal en un momento dado respecto de componentes químicos atmosféricos,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,58,"Predicción de conjunto individual, de control y perturbada, de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado, basada en una función de distribución",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,59,"Predicción de conjunto individual, de control y perturbada, de parámetros de cambios espaciotemporales en las placas para una superficie o capa horizontal en un momento dado (versión corregida del Modelo 4.56)",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,60,"Repredicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,61,"Reredicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,62,"Valores promedios, acumulados y/o extremos u otros valores procesados estadísticamente en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo para cambios espaciotemporales en las placas en una superficie o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,63,"Predicción de conjunto individual, de control y perturbada, en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo para cambios espaciotemporales en las placas",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,64-66,Reservadas,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,67,"Valores promedios, acumulados y/o extremos u otros procesados estadísticamente para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos sobre la base de una función de distribución",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,68,"Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo respecto de componentes químicos atmosféricos sobre la base de una función de distribución",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,69,Reservada,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,70,Procesamiento posterior del análisis o predicción para una superficie o una capa horizontal en un momento dado,,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,71,"Procesamiento posterior de la predicción de conjunto individual, de control y perturbada, en un nivel o capa horizontal en un momento dado",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,72,"Procesamiento posterior de los valores medios, acumulados y/o extremos y de otros valores obtenidos por cálculo estadístico para una superficie o una capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
Tabla de cifrado 4.0 — Número del modelo de definición del producto,73,"Procesamiento posterior de la predicción de conjunto individual, de control y perturbada, en un nivel o capa horizontal durante un intervalo de tiempo continuo o discontinuo",,,,,,Operational
