Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,0,,Reservada,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,1,,Superficie de la tierra o del agua,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,2,,Nivel de la base de las nubes,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,3,,Nivel de las cimas de las nubes,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,4,,Nivel de la isoterma 0 °C,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,5,,Nivel de condensación adiabática a partir de la superficie,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,6,,Nivel máximo de viento,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,7,,Tropopausa,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,8,,Cima nominal de la atmósfera,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,9,,Fondo del mar,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,10,,Toda la atmósfera,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,11,,Base de cumulonimbos (CB),,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,12,,Cima de cumulonimbos (CB),,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,13,,Nivel más bajo en el que la cubierta de nubes verticalmente integrada supera el porcentaje especificado (base de las nubes para un porcentaje determinado de cubierta de nubes),,,%,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,14,,Nivel de convección libre,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,15,,Nivel de condensación convectiva,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,16,,Nivel de la fuerza ascensional neutra o nivel de equilibrio,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,17,,Nivel de partida de la partícula más inestable de aire (MUDL),,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,18,,Nivel de partida de una capa mixta de aire con una profundidad de capa especificada,,,Pa,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,19,,Reservada,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,20,,Nivel de la isoterma,,,K,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,21,,Nivel más bajo en el que la densidad másica supera el valor especificado (base para un umbral determinado de densidad másica),,,kg m-3,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,22,,Nivel máximo en el que la densidad másica supera el valor especificado (tope para un umbral determinado de densidad másica),,,kg m-3,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,23,,Nivel más bajo en el que la concentración en el aire supera el valor especificado (base para un umbral determinado de concentración en el aire),,,Bq m-3,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,24,,Nivel máximo en el que la concentración del aire supera el valor especificado (tope para un umbral determinado de concentración del aire),,,Bq m-3,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,25,,Nivel máximo en el que la reflectividad de radar supera el valor especificado(tope del eco para un umbral determinado de reflectividad),,,dBZ,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,26-99,,Reservadas,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,100,,Superficie isobárica,,,Pa,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,101,,Nivel medio del mar,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,102,,Altitud especificada (por encima del nivel medio del mar),,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,103,,Altura especificada por encima del suelo,,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,104,,Nivel sigma,,,"Valor ""sigma""",Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,105,,Nivel híbrido,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,106,,Profundidad por debajo de la superficie terrestre,,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,107,,Nivel isentrópico (theta),,,K,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,108,,Nivel definido por la diferencia de presión con la presión en el suelo,,,Pa,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,109,,Superficie de la vorticidad potencial,,,K m² kg-1 s-1,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,110,,Reservada,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,111,,Nivel Eta,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,112,,Reservada,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,113,,Nivel híbrido logarítmico,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,114,,Nivel de nieve,,,Numérica,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,115,,Nivel de altura sigma (véase la nota 4),,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,116,,Reservada,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,117,,Espesor de la capa de mezcla oceánica,,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,118,,Nivel de de altura híbrido,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,119,,Nivel de presión híbrido,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,120-149,,Reservadas,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,150,,Coordenada generalizada de altura vertical (véase la nota 5),,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,151,,Nivel del suelo (véase la nota 6),,,Numérica,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,152-159,,Reservadas,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,160,,Profundidad bajo el nivel del mar,,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,161,,Profundidad por debajo de la superficie del agua,,,m,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,162,,Fondo del lago o río,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,163,,Fondo de la capa de sedimentos,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,164,,Fondo de la capa termoactiva de sedimentos,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,165,,Fondo de la capa de sedimentos penetrada por onda térmica,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,166,,Capa de mezcla,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,167,,Parte inferior de la zona radicular,,,,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,168,,Nivel del modelo oceánico,,,Numérica,Operational
Tabla de cifrado 4.5 – Tipos y unidades de las superficies especificadas,,169,,Nivel del océano definido por la diferencia de densidad del agua (sigma-theta) entre las proximidades de la superficie y el nivel (véase la nota 7),,,kg m-3,Operational
