Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",0,,Contenido de hielo de las nubes,,,kg m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",1,,Cubierta total de nubes,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",2,,Nubes convectivas,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",3,,Nubes bajas,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",4,,Nubes medias,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",5,,Nubes elevadas,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",6,,Contenido de agua de las nubes,,,kg m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",7,,Nubosidad,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",8,,Tipo de nube,,,Tabla de cifrado 4.203,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",9,,Altitud máxima de la capa superior de las tormentas,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",10,,Extensión de las tormentas,,,Tabla de cifrado 4.204,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",11,,Base de las nubes,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",12,,Cima de las nubes,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",13,,Techo,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",14,,Cubierta de nubes no convectiva,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",15,,Función de trabajo de nube,,,J kg-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",16,,Eficiencia de nube convectiva,,,Proporción,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",17,,Condensado total*,,,kg kg-1,Deprecated
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",18,,Agua de nube total integrada en columna*,,,kg m-2,Deprecated
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",19,,Hielo de nube total integrado en columna*,,,kg m-2,Deprecated
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",20,,Condensado total integrado en columna*,,,kg m-2,Deprecated
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",21,,Fracción de hielo del condensado total,,,Proporción,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",22,,Nubosidad,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",23,,Relación de mezcla de hielo en las nubes*,,,kg kg-1,Deprecated
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",24,,Insolación,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",25,,Extensión horizontal de cumulonimbos,,,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",26,,Altura de la base de nube convectiva,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",27,,Altura de la cima de nube convectiva,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",28,,Número de gotículas de nube por unidad de masa de aire,,,kg-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",29,,Número de partículas de hielo en nube por unidad de masa de aire,,,kg-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",30,,Densidad numérica de gotículas de nube,,,m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",31,,Densidad numérica de partículas de hielo en nube,,,m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",32,,Fracción de la cima de las nubes,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",33,,Duración de la insolación,,,s,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",34,,Nubosidad total efectiva en onda larga superficial,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",35,,Nubosidad total efectiva en onda corta superficial,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",36,,Fracción de cobertura de precipitación estratiforme,,,Proporción,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",37,,Fracción de cobertura de precipitación convectiva,,,Proporción,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",38,,Densidad másica de las gotitas de nube,,,kg m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",39,,Densidad másica del hielo de nube,,,kg m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",40,,Densidad másica de gotitas de agua en nube convectiva,,,kg m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",41-46,,Reservadas,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",47,,Fracción de volumen de gotitas de agua en nube**,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",48,,Fracción de volumen de partículas de hielo en nube**,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",49,,Fracción de volumen de nube (hielo y/o agua)**,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",50,,Niebla,(véase la nota 1),,%,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",51-191,,Reservados,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",192-254,,Reservados para uso local,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 6: nubes",255,,Valor faltante,,,,Operational
