Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",0,,Concentración en el aire de cesio 137,,,Bq m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",1,,Concentración en el aire de yodo 131,,,Bq m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",2,,Concentración en el aire de contaminante radiactivo,,,Bq m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",3,,Deposición en el suelo de cesio 137,,,Bq m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",4,,Deposición en el suelo de yodo 131,,,Bq m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",5,,Deposición en el suelo de contaminante radiactivo,,,Bq m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",6,,Concentración en el aire integrada en el tiempo de contaminante de cesio,(véase la nota 1),,Bq s m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",7,,Concentración en el aire integrada en el tiempo de contaminante de yodo,(véase la nota 1),,Bq s m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",8,,Concentración en el aire integrada en el tiempo de contaminante radiactivo,(véase la nota 1),,Bq s m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",9,,Reservado,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",10,,Concentración en el aire,(véase la nota 2),,Bq s m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",11,,Deposición húmeda,,,Bq s m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",12,,Deposición seca,,,Bq s mv,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",13,,Deposición total (húmeda y seca),,,Bq s m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",14,,Concentración de actividad específica,(véase la nota 2),,Bq kg-1,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",15,,Máximo de concentración en el aire en la capa,,,Bq m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",16,,Altura de la concentración en el aire máxima,,,m,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",17,,Concentración en el aire integrado en columna,,,Bq m-2,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",18,,Concentración media en el aire en la columna de la capa,,,Bq m-3,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",19-191,,Reservados,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",192-254,,Reservados para uso local,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 18: nuclear/radiología",255,,Valor faltante,,,,Operational
