Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",0,,Valor ajustado de la radiancia,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",1,,Valor ajustado del albedo,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",2,,Valor ajustado de la temperatura de luminancia,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",3,,Valor ajustado del agua precipitable,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",4,,Valor ajustado del índice de elevación,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",5,,Valor ajustado de la presión en la cima de las nubes,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",6,,Valor ajustado de la temperatura pelicular,,,Numérica,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",7,,Máscara de nubes,,,Tabla de cifrado 4.217,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",8,,Tipo de escena en píxeles,,,Tabla de cifrado 4.218,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",9,,Indicador de detección de incendios,,,Tabla de cifrado 4.223,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",10–191,,Reservados,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",192–254,,Reservados para uso local,,,,Operational
Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 Productos espaciales, categoría de parámetros 0: productos de formato de imagen",255,,Valor faltante,,,,Operational
