ID,Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status,translated_by
grib2/4/2/3/1/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",0,,Precipitación estimada,,,kg m-2,Operational,Original
grib2/4/2/3/1/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",1,,Tasa de lluvia instantánea,,,kg m-2 s-1,Operational,Original
grib2/4/2/3/1/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",2,,Altura de la cima de la nube,,,m,Operational,Original
grib2/4/2/3/1/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",3,,Indicador de calidad de la altura de la cima de la nube,,,Tabla de cifrado 4.219,Operational,Original
grib2/4/2/3/1/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",4,,Componente u estimado del viento,,,m s-1,Operational,Original
grib2/4/2/3/1/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",5,,Componente v estimado del viento,,,m s-1,Operational,Original
grib2/4/2/3/1/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",6,,Número de píxeles utilizados,,,Numérica,Operational,Original
grib2/4/2/3/1/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",7,,Ángulo cenital solar,,,Grado,Operational,Original
grib2/4/2/3/1/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",8,,Ángulo azimutal relativo,,,Grado,Operational,Original
grib2/4/2/3/1/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",9,,"Reflectancia en canal de 0,6 micrones",,,%,Operational,Original
grib2/4/2/3/1/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",10,,"Reflectancia en canal de 0,8 micrones",,,%,Operational,Original
grib2/4/2/3/1/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",11,,"Reflectancia en canal de 1,6 micrones",,,%,Operational,Original
grib2/4/2/3/1/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",12,,"Reflectancia en canal de 3,9 micrones",,,%,Operational,Original
grib2/4/2/3/1/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",13,,Divergencia atmosférica,,,s-1,Operational,Original
grib2/4/2/3/1/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",14,,Temperatura de luminancia en cielo nuboso,,,K,Operational,Original
grib2/4/2/3/1/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Campo de especialización 3 — Productos espaciales, categoría de parámetros 1: productos cuantitativos",15,,Temperatura de luminancia en cielo despejado,,,K,Operational,Original
