noteID,note_es,translation_source
1,Parámetro relegado. Véase la Regla 92.6.2 y utilícese en su lugar otro parámetro.,Original
2,"El cálculo estadístico 1 (Acumulación) no altera las unidades. Se recomienda utilizar otro parámetro con el término ""tasa"" en su nombre y acumulación en MDP.",Original
3,"Se recomienda no utilizar este parámetro, y utilizar en su lugar uno con una unidad más descriptiva.",Original
4,Parámetro relegado. Utilícese en su lugar otro parámetro de la categoría de parámetros 1: humedad.,Original
5,La primera y la segunda superficies especificadas de la Tabla de cifrado 4.5 (Tipos y unidades de las superficies especificadas) definen la extensión vertical.,Original
6,El cálculo estadístico 1 (acumulación) no altera las unidades.,Original
7,"Las expresiones “superior a lo normal”, “próxima a lo normal” e “inferior a lo normal” definen tres categorías equiprobables basadas en la climatología en cada punto de la zona geográfica cubierta por la retícula. No se especifican ni el tipo ni la metodología de la climatología de  referencia, y deberían documentarse conjuntamente por los productores de los datos.",Original
8,Parámetro relegado. Utilícese en su lugar otro parámetro de la categoría de parámetros 3: productos relativos a los suelos.,Original
9,"Los modelos de definición del producto que se utilizan en la Tabla de cifrado 4.9 pueden incluir octetos para indicar los valores de los límites inferiores y superiores. Si se utiliza la probabilidad categórica (como inferior, próximo y superior a lo normal), esos octetos se fijarán todos en 1 (valor faltante).",Original
10,"El cálculo estadístico 1 (acumulación) no altera las unidades. Se recomienda utilizar otro parámetro que incluya el término “tasa” en su nombre y acumulación en MDP.",Original
11,La suma de las fracciones de agua y hielo puede superar el total debido a la superposición de volúmenes que contienen agua y los que contienen hielo.,Original
12,(see separate doc or pdf file),Original
13,Las cifras de clave 12 y 13 están previstas para los casos en que las cifras de clave 0 y 2 no sean posibles debido a las diferencias en los parámetros físicos.,Original
14,"El factor de conversión entre la ""concentración de actividad específica"" (14) y la ""concentración en aire"" (10) es la ""densidad másica"" [kg m-3].",Original
15,En relación con los ejes de coordenadas locales en el borde de una celda.,Original
17,Los números 17 y 20 son desviaciones del valor de referencia de 1000 kg m-3.,Original
