noteID,note_fr,translated_by
1,Une cellule de données correspond à un point de données représentant un volume dont il est le centre.,Original
2,"Quand un groupe ne contient que des valeurs manquantes (de l’un ou l’autre type), celui–ci est codé comme un groupe constant (largeur nulle, aucune donnée associée) et, dans la référence du groupe, tous les bits sont mis à 1 dans le cas de valeurs de type primaire ou tous les bits sont mis à 1 sauf le dernier mis à 0 dans le cas de valeurs de type secondaire.",Original
3,"Un algorithme de traitement logarithmique permettant de réduire l’ordre de grandeur de la variabilité pour qu’il ne soit que de 101 ou de 102 est utilisé avant l’algorithme de compression simple. Il nécessite un paramètre (B) pour que toutes les valeurs auxquelles la fonction logarithme est appliquée soient positives. Les valeurs ajustées sont donc obtenues selon la formule Z = ln (Y+B), où Y représentent les valeurs originales, ln est la fonction logarithme népérien et B est défini par Y+B>0.",Original
4,"Une grille quasi régulière n’est définie que pour les modes d’exploration de grille appropriés. Les lignes ou les colonnes, mais pas les deux en même temps, peuvent avoir un nombre de points variable ou un espacement variable. Le premier point de chaque ligne (colonne) est situé sur le méridien (parallèle) selon les indications données par les octets 47–54. La maille de la grille est fixe (même écartement entre les latitudes (longitudes)).",Original
5,La valeur ajustée du rayon de la Terre sphérique ou encore du grand axe et du petit axe de la Terre ellipsoïdale aplatie est obtenue en appliquant le facteur d’échelle approprié à la valeur exprimée en mètres.,Original
6,Une partition simple codée PN appartenant à l’ensemble des partitions NP est représentée dans le modèle. Les valeurs de code des partitions NP sont indiquées dans les octets 14 à 14+2NP–1. Les partitions NP sont reliées par la formule de normalisation selon laquelle la somme de toutes les partitions NP doit être égale à un terme de normalisation (N) sur chaque point de la grille.,Original
7,"Un incrément égal à zéro signifie que le calcul statistique se produit en continu (ou quasiment en continu) et qu’il ne porte donc pas sur un certain nombre d’échantillons pris par intermittence. À titre d’exemple, on peut citer comme processus continu la mesure des température par les thermomètres ou thermographes analogiques à maximum et minimum ou celle de la pluie par un pluviomètre.",Original
8,"Il est possible en outre de préciser que des valeurs sont utilisées en remplacement des données manquantes. Si cette option n’est pas retenue (ou si elle ne s’applique pas au cas en question), tous les bits des valeurs de remplacement correspondantes sont mis à 1.",Original
9,"L’angle de base du domaine de production initial et ses subdivisions sont utilisés, quand on ne peut appliquer l’unité conseillée (10–6 degré), pour décrire les longitudes et latitudes extrêmes ainsi que les incréments de direction. Pour ces six derniers descripteurs, l’unité équivaut au rapport entre l’angle de base et le nombre des subdivisions. Dans les cas ordinaires, il convient de coder 0 et les données manquantes par les valeurs respectives de 1 et 106 (unité: 10–6 degré).",Original
10,"Voici la meilleure méthode permettant de déterminer le paramètre de traitement B. a) Si la valeur la plus faible de la série de données est positive, il n’y a aucun risque à choisir B=0. b) Si la valeur la plus faible de la série est égale à zéro, il convient d’ajuster toutes les valeurs pour qu’elles soient supérieures à zéro, il est alors possible de prendre pour B la première valeur supérieure à zéro de la série.",Original
11,Le bit 2 de l’indicateur de la projection ne s’applique pas à la projection stéréographique polaire.,Original
12,"Les données sont compressées suivant le modèle de données 7.",Original
13,"Les descripteurs supplémentaires que nécessite la différenciation spatiale sont ajoutés avant les descripteurs de séparation en groupes, pour bien faire apparaître une distinction entre les deux méthodes. Cela permet d’utiliser des parties logicielles communes, que les données traitées présentent ou non une différenciation spatiale.",Original
14,"Pour les octets «séries des satellites-bande nb», «numéro du satellite-bande nb» et «types d’instruments – bande nb», il est recommandé de coder les valeurs à partir, respectivement, des tables du code BUFR 0 02 020, 0 01 007 (table de code commune C-5) et 0 02 019 (table de code commune C-8).",Original
15,"our les données représentées sur une grille quasi régulière où toutes les lignes ou colonnes n’ont pas nécessairement le même nombre de points de grille, Ni (octets 31–34) ou Nj (octets 35–38) et Di (octets 64–67) ou Dj (octets 68–71) correspondants sont codés, tous les bits étant mis à 1 (manquant). Le nombre réel de points le long de chaque parallèle ou méridien est codé dans les octets placés immédiatement après le modèle de définition de la grille (octets [xx+1]–nn), comme cela est indiqué dans la description de la Section de définition de la grille.",Original
16,"En ce qui concerne la différenciation d’ordre n, les n premières valeurs de la table non man– quantes sont mises à 0 dans la table comprimée. Les valeurs fictives ne sont pas utilisées dans la décompression.",Original
17,"Pour les groupes contenant une valeur constante, le champ associé est mis à 0 et aucune donnée incrémentale n’est fournie.",Original
18,"Pour davantage de détails, voir partie B, supplément I du code GRIB.",Original
19,"Pour obtenir davantage de détails, voir partie B, supplément III du code GRIB.",Original
20,"Pour obtenir davantage de détails, voir partie B, supplément IV du code GRIB.",Original
21,La règle 92.9.4 fournit les détails du processus de compression pour la plupart des modèles.,Original
22,"Dans le cas d’une projection orthographique depuis l’infini, la valeur de Nr est codée comme manquante (tous les bits mis à 1).",Original
23,"Dans le cas d’une compression par ligne avec une table binaire, il y a autant de groupes que de lignes. Dans le cas de lignes ne comprenant que des valeurs manquantes, tous les descripteurs associés prennent la valeur de code 0.",Original
24,"Dans un souci de simplification, il convient de condenser les données d’images en ne retenant qu’une seule composante (image en niveaux de gris) et non pas plusieurs composantes (image couleur).",Original
25,"Pour certaines représentations spectrales, le coefficient (0,0) exprime la valeur moyenne du paramètre représenté.",Original
26,"Les longitudes Ni et les latitudes Nj sont codées en fin de section, où ii = 60 + 4Ni et jj = 60 + 4Ni +4Nj.",Original
27,"L’information générale de référence relative aux projections utilisées pour les données satellitaires figure dans la section 4.4 du document intitulé «LRIT/HRIT Global Specification» (Doc. No. CGMS 03, numéro 2.6, du 12 août 1999) (http://www.eumetsat.int/Home/Main/AboutEUMETSAT/InternationalRelations/CGMS/groups/cps/documents/document/pdf_cgms_03.pdf, page 20 et suivantes).",Original
28,"Les longueurs de grille sont exprimées en 10–3 m, à la latitude correspondant à LaD.",Original
29,"Les longueurs de grille sont exprimées en 10–3 m, à la latitude correspondant au parallèle standard.",Original
