noteID,note_fr,translated_by
1,Parameter deprecated. See Regulation 92.6.2 and use another parameter instead.,
2,"Statistical process 1 (Accumulation) does not change units. It is recommended to use another parameter with ""rate"" in its name and accumulation in PDT.",
3,"It is recommended not to use this parameter, but another one with a more descriptive unit.",
4,Parameter deprecated. Use another parameter in parameter category 1: moisture instead.,
5,"FirstFixedSurface and SecondFixedSurface of Code table 4.5 (Fixed surface types and units) to define the vertical extent, i.e. FirstFixedSurface can be set to 1 (Ground or water surface) and SecondFixedSurface set to 7 (Tropopause) for a restriction to the troposphere.",
6,Statistical process 1 (Accumulation) does not change units.,
7,"Above normal, near normal and below normal are defined as three equiprobable categories based on climatology at each point over the geographical area covered by the grid. The type and methodology of the reference climatology are unspecified and should be documented concurrently by the data producer.",
8,Parameter deprecated. Use another parameter in parameter category 3: soil products instead.,
9,"Product definition templates that use Code Table 4.9 may contain octets to store the values of lower and upper limits. When categorical probability is used (such as below, near and above normal), these octets shall be set to ""all ones"" (missing).",
10,"Statistical process 1 (Accumulation) does not change units. It is recommended to use another parameter without the word ""time-integrated"" in its name and accumulation in PDT.",
11,The sum of the water and ice fractions may exceed the total due to overlap between the volumes containing ice and those containing liquid water.,
12,(see separate doc or pdf file),
13,Code figures 12 and 13 are intended in cases where code figures 0 and 2 may not be sufficient to indicate that significant post-processing has taken place on an initial analysis or forecast output.,
14,"Conversion factor between ""Specific activity concentration"" (14) and ""Air concentration"" (10) is ""mass density"" [kg m-3].",
15,In relation to local coordinate axes at a cell edge.,
16,"It is recommended to use Snow melt rate instead (discipline 2, category 0, number 41).",
17,Numbers 17 and 20 are deviations from the reference value of 1 000 kg m-3.,
18,"Le niveau est défini par l'écart entre la proximité de la surface et le niveau s'agissant d'une propriété de l'eau. La proximité de la surface se situe généralement à 10 mètres de profondeur. La quantité physique utilisée pour calculer l'écart peut être la masse volumique de l'eau (σθ), pour le chiffre du code 169, ou la température potentielle de l'eau (θ), pour le chiffre du code 170.",Original
19,The original data value is in the same units as the parameter defined by octets 10 and 11 of the product definition template.,
20,"The term ""number density"" is used as well for ""number concentration"" (code number 59); conversion factor between ""number density"" (59) and ""specific number concentration"" (60) is ""mass density"" [kg m-3].",
21,The x- and y- components of surface stress are not necessarily equivalent to the u- and v- components (eastward/northward). The x- and y- components strictly follow the defined coordinate system which may or may not follow the eastward and northward directions.,
22,The x- and y- components of water velocity are not necessarily equivalent to the u- and v- components (eastward/northward). The x- and y- components strictly follow the defined coordinate system which may or may not follow the eastward and northward directions.,
23,Total precipitation/snowfall rate stands for the sum of convective and large-scale precipitation/snowfall rate.,
24,The Global Solar UVI is formulated using the International Commission on Illumination (CIE) reference action spectrum for UV-induced erythema on the human skin (ISO17166:1999/CIE S 007/E-1998). It is a measure of the UV radiation that is relevant to and defined for a horizontal surface. The UVI is a unitless quantity defined by the formula: {{image}}.,
25,"Un champ de données représentant l’enneigement en fonction de l’altitude indique les altitudes auxquelles de la neige est présente. Les valeurs pour l’altitude s’échelonnent généralement de 0 à 90 par incréments de 100 m. Une valeur de 253 est utilisée pour représenter un point de donnée correspondant à «pas de neige/pas de nuages». Une valeur de 254 est utilisée pour représenter un point de données indiquant que l’altitude de la couverture nuageuse n’a pas pu être déterminée, le télédétecteur étant masqué par des nuages (mesures à partir d’aéronefs ou de satellites).",PDF_extraction
26,A value strictly above 0.5 is treated as glacier. A value equal or below 0.5 is treated as land without glacier.,
27,Latitude/Longitude is also called equidistant cylindrical or Plate Carrée.,
28,Une analyse initialisée est considérée comme une prévision à échéance immédiate (heure zéro).,Original
29,Analysis increment represents analysis minus first guess,
30,"Apparent temperature is the perceived outdoor temperature, caused by a combination of phenomena, such as air temperature, relative humidity and wind speed.",
31,"Assuming a cloud containing a bi-modal ice particle distribution, ""cloud ice"" refers to the small particle mode, whereas the large mode is usually called ""snow"". (""Ice pellets"", in contrast, may refer to the precipitation of sleet, formed from freezing raindrops or refreezing (partially) melted snowflakes, or the precipitation of small hail.)",
32,"Les bits 5 à 8 peuvent servir à décrire des grilles décalées, telles les grilles d’Arakawa (voir dans la partie B, le supplément II pour le code GRIB).",PDF_extraction
33,Budget interpolation means a low-order interpolation method that quasi-conserves area averages. It would be appropriate for interpolating budget fields such as precipitation. This method assumes that the field really represents box averages/maxima/minima where each box extends halfway to its neighboring grid point in each direction. The method actually averages bilinearly interpolated values in a square array of points distributed within each output grid box.,
34,"Par convention, le flux est positif lorsqu’il est descendant.",PDF_extraction
35,"Lambert conformal can be secant, tangent, conical or bipolar.",
36,Polar stereographic projection can be south or north.,
37,"Code figure 5 applies to instances where a single time subinterval was used to calculate the statistically processed field. The exact starting and ending times of the subinterval are not given, but it is known that it is contained inclusively between the beginning time and the ending time of the overall interval.",
38,Les chiffres du code 11 à 20 indiquent que les quatre couches sont spécifiées et que du brouillard au sol se situe au-dessous de la couche la plus basse.,PDF_extraction
39,Data are in specified physical units.,
40,"Data are numeric without units, although they might be given quantitative meaning through a code table defined external to this document. The emphasis is on a displayable ""picture"" of some phenomenon, perhaps with certain enhanced features. Generally, each datum is an unsigned, one octet integer, but some image format products might have another datum size. The size of a datum is indicated in section 5.",
41,"Le décibel (dB) est une mesure logarithmique de la puissance relative ou des valeurs relatives de deux densités de flux, en particulier d’intensités sonores et de densités de puissance radio et radar. En météorologie radar, l’échelle logarithmique (dBZ) est utilisée pour mesurer la réflectivité radar (d’après le glossaire de météorologie de l’American Meteorological Society).",PDF_extraction
42,Defined by originating centre.,
43,"Definition of LPI after Lynn et al.: Lynn, B. and Y. Yair, 2010: Prediction of lightning flash density with the WRF model, Adv. Geosci., 23:11-16; Yair, Y., B. Lynn, C. Price, V. Kotroni,K. Lagouvardos, E. Morin, A. Mugnai and M. Llasat, 2010: Predicting the potential for lightning activity in Mediterranean storms based on the Weather Research and Forecasting (WRF) model dynamic and microphysical fields, Journal of Geophysical Research, 115, D04205, doi:10.1029/2008JD010868.",
44,"Il est admis que Di et Dj sont de signe positif, la direction de i et j étant fournie par les bits 1 et 2.",PDF_extraction
45,Eddy dissipation parameter is the third root of eddy dissipation rate [m2 s-3].,
46,"Les entrées 8 - 12 sont caduques.",PDF_extraction
47,Année non bissextile en principe.,Original
48,Fait remonter le calendrier grégorien indéfiniment dans le passé.,Original
49,Fog is defined as cloud cover in the lowest model level.,
50,"It should be noted that depending on values of extreme (first/last) coordinates,and regardless of bitmap, effective number of points per row may be less than the number of points on the current circle.",
