noteID,note_es,flag
1,Una célula de datos corresponde a un punto de datos que representa un volumen del cual es el centro.,Original
2,"Cuando un grupo contiene solamente valores faltantes (de uno u otro tipo), éste se cifra como grupo constante (anchura nula, ningún dato asociado) y, en la referencia del grupo, todos los bits se cifran en 1 en el caso de valores de tipo primario, o todos los bits se cifran en 1 salvo el último, que se cifra en 0, en el caso de valores de tipo secundario.",Original
3,"Se utiliza un algoritmo de precálculo logarítmico para insertar el intervalo de variabilidad en uno o dos órdenes de magnitud antes de utilizar el algoritmo de compresión simple. Para ello se requiere un parámetro (B) que garantice que todos los valores transferidos a la función logarítmica son positivos. De ese modo, los valores ajustados son Z = ln (Y + B), en que Y son los valores originales, ln es la función logarítmica natural (no naperiana) y se escoge B de tal modo que Y + B > 0.",Original
4,"Una retícula casi regular se define solamente con los modos de exploración de retícula apropiados. Las filas o las columnas, pero no ambas al mismo tiempo, pueden tener un número de puntos o espaciamiento variables. El primer punto de cada fila (o columna) deberá estar situado en el meridiano (o paralelo) indicado por los octetos 47–54. La malla de la retícula será fija (misma distancia entre las latitudes (o longitudes)).",Original
5,"Para obtener un valor convertido a escala del radio de la Tierra, considerada esférica, o un eje mayor o menor de la Tierra, considerada una esfera achatada, puede aplicarse un factor de escala apropiado al valor expresado en metros.",Original
6,En el modelo se representa una única partición con el valor de clave PN derivada del conjunto de particiones compuesto por las particiones NP. Los valores de clave de las particiones NP se expresan en octetos 14 a 14+2NP-1. Las particiones NP están vinculadas por la fórmula de normalización que indica que la suma de todas las particiones NP debe ser igual a un período de normalización (N) en cada punto de la retícula.,Original
7,"Un incremento igual a cero significa que el cálculo estadístico es fruto de un proceso continuo (o casi continuo) y que, por consiguiente, no obedece a cierto número de muestras discretas. A título de ejemplo de proceso continuo se puede citar la medición de la temperatura por termómetros o termógrafos analógicos de máximas y mínimas, o la medición de la lluvia con un pluviómetro.",Original
8,"Si esa opción no se adopta (o si no se aplica al caso en cuestión), todos los bits de los valores de sustitución correspondientes se deberían cifrar en 1.",Original
9,"El ángulo básico del dominio de producción inicial y sus subdivisiones del ángulo básico figuran con el fin de cubrir aquellos casos en que la unidad recomendada de 10–6 grados no es aplicable para describir las longitudes y latitudes. Para esos descriptores, la unidad es igual al cociente entre el ángulo básico y el número de subdivisiones. En los casos ordinarios, deberán cifrarse el valor cero y los valores faltantes, equivalentes respectivamente a los valores 1 y 106 (unidad: 10–6 grados).",Original
10,"Para escoger el parámetro de precálculo de B se sigue la mejor práctica, que es la siguiente: a) Si el valor mínimo de la serie de datos es positivo, B puede cifrarse en cero sin riesgo. b) Si el mínimo de la serie de datos es cero, todos los valores deben ajustarse para que sean superiores a cero, y B pueda ser igual al valor positivo mínimo de la serie de datos.",Original
11,El bit 2 del banderín de la proyección no se aplica a la proyección estereográfica polar.,Original
12,Los datos deben ser comprimidos utilizando el Modelo de los datos 7.,Original
13,"Los descriptores adicionales que requiere la diferenciación espacial se añaden antes de los descriptores de separación en grupos, para hacer aparecer claramente una distinción entre los dos métodos. Esto permite utilizar partes de programas comunes, con diferenciación espacial o sin ella.",Original
