ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/10/15,Образец определения сетки 3.10 — проекция Меркатора,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational,PDF
grib2/3/10/16,Образец определения сетки 3.10 — проекция Меркатора,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational,PDF
grib2/3/10/17-20,Образец определения сетки 3.10 — проекция Меркатора,17–20,,Масштабированная величина радиуса сферической Земли,,,,,operational,PDF
grib2/3/10/21,Образец определения сетки 3.10 — проекция Меркатора,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational,PDF
grib2/3/10/22-25,Образец определения сетки 3.10 — проекция Меркатора,22–25,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational,PDF
grib2/3/10/26,Образец определения сетки 3.10 — проекция Меркатора,26,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational,PDF
grib2/3/10/27-30,Образец определения сетки 3.10 — проекция Меркатора,27–30,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational,PDF
grib2/3/10/31-34,Образец определения сетки 3.10 — проекция Меркатора,31–34,,Ni — количество узлов вдоль параллели,,,,,operational,PDF
grib2/3/10/35-38,Образец определения сетки 3.10 — проекция Меркатора,35–38,,Nj — количество узлов вдоль меридиана,,,,,operational,PDF
grib2/3/10/39-42,Образец определения сетки 3.10 — проекция Меркатора,39–42,,La1 — широта первого узла сетки,,,,,operational,PDF
grib2/3/10/43-46,Образец определения сетки 3.10 — проекция Меркатора,43–46,,Lo1 — долгота первого узла сетки,,,,,operational,PDF
grib2/3/10/47,Образец определения сетки 3.10 — проекция Меркатора,47,,Флаги разрешения и компонентов (продолж.) (Образец определения сетки 3.10 — продолж.),см. таблицу флагов 3.3,,3.3,,operational,PDF
grib2/3/10/48-51,Образец определения сетки 3.10 — проекция Меркатора,48–51,,LaD — широта(ы), на которой проекция Меркатора пересекается с Землей (широта(ы), на которой определены Di и Dj),,,,PDF
grib2/3/10/52-55,Образец определения сетки 3.10 — проекция Меркатора,52–55,,La2 — широта последнего узла сетки,,,,,operational,PDF
grib2/3/10/56-59,Образец определения сетки 3.10 — проекция Меркатора,56–59,,Lo2 — долгота последнего узла сетки,,,,,operational,PDF
grib2/3/10/60,Образец определения сетки 3.10 — проекция Меркатора,60,,Режим сканирования (флаги — см. таблицу флагов 3.4),,,,,operational,PDF
grib2/3/10/61-64,Образец определения сетки 3.10 — проекция Меркатора,61–64,,Ориентация сетки, угол между направлением i на карте и экватором,см. примечание 1,,1,,PDF
grib2/3/10/65-68,Образец определения сетки 3.10 — проекция Меркатора,65–68,,Di — шаг сетки в долготном направлении,см. примечание 2,,2,,operational,PDF
grib2/3/10/69-72,Образец определения сетки 3.10 — проекция Меркатора,69–72,,Dj — шаг сетки в широтном направлении,см. примечание 2,,2,,operational,PDF
grib2/3/10/73-nn,Образец определения сетки 3.10 — проекция Меркатора,73–nn,,Перечень количества узлов вдоль каждой меридианы или параллели (эти октеты имеются только для квазирегулярных сеток, описанных в примечаниях 2 и 3 к образцу определения сетки 3.1).,,,,,PDF
