ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/140/15,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,15,1,Форма Земли,см. кодовую таблицу 3.2,,3.2,,Operational,PDF
grib2/3/140/16,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,16,1,Масштабный коэффициент радиуса сферической Земли,,,,,Operational,PDF
grib2/3/140/17-20,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,17-20,4,Масштабированная величина радиуса сферической Земли,,,,,Operational,PDF
grib2/3/140/21,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,21,1,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/140/22-25,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,22-25,4,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/140/26,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,26,1,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/140/27-30,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,27-30,4,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/140/31-34,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,31-34,4,Nx — количество точек по оси x,,,,,Operational,PDF
grib2/3/140/35-38,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,35-38,4,Ny — количество точек по оси y (продолж.) (Образец определения сетки 3.140 — продолж.),,,,,Operational,PDF
grib2/3/140/39-42,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,39-42,4,La1 — широта первого узла сетки,,,,,Operational,PDF
grib2/3/140/43-46,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,43-46,4,Lo1 — долгота первого узла сетки,,,,,Operational,PDF
grib2/3/140/47-50,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,47-50,4,Стандартная параллель,,,,,Operational,PDF
grib2/3/140/51-54,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,51-54,4,Центральная долгота,,,,,Operational,PDF
grib2/3/140/55,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,55,1,Флаги разрешения и компонентов,см. таблицу флагов 3.3,,3.3,,Operational,PDF
grib2/3/140/56-59,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,56-59,4,Dx — длина сетки в направлении х (см. примечание),,29,,,Operational,PDF
grib2/3/140/60-63,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,60-63,4,Dy — длина сетки в направлении y (см. примечание),,29,,,Operational,PDF
grib2/3/140/64,Образец определения сетки 3.140 — азимутальная равновеликая проекция Ламберта,64,1,Режим сканирования,равных 10-3 м; Примечание. Длины сетки измеряются в единицах,,определенной стандартной параллелью.,см. таблицу флагов 3.4,Operational,PDF
