ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/3/110/15,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational,Original
grib2/3/110/16,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational,Original
grib2/3/110/17-20,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,17–20,,Масштабированная величина радиуса сферической Земли (продолж.) (Образец определения сетки 3.110 — продолж.),,,,,operational,Original
grib2/3/110/21,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/110/22-25,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,22–25,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/110/26,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,26,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/110/27-30,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,27–30,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/110/31-34,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,31–34,,Nx — количество узлов вдоль оси x,,,,,operational,Original
grib2/3/110/35-38,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,35–38,,Ny — количество узлов вдоль оси y,,,,,operational,Original
grib2/3/110/39-42,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,39–42,,La1 — широта точки касания (центр сетки),,,,,operational,Original
grib2/3/110/43-46,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,43–46,,Lo1 — долгота точки касания,,,,,operational,Original
grib2/3/110/47,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,47,,Флаги разрешения и компонентов,см. таблицу флагов 3.3,,3.3,,operational,Original
grib2/3/110/48-51,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,48–51,,Dx — шаг сетки в направлении x в единицах 10-3 м, измеренный в точке оси,,,,,Original
grib2/3/110/52-55,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,52–55,,Dy — шаг сетки в направлении y в единицах 10-3 м, измеренный в точке оси,,,,,Original
grib2/3/110/56,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,56,,Центр проекции,,,,,operational,Original
grib2/3/110/57,Образец определения сетки 3.110 — экваториальная азимутальная равноудаленная,57,,Режим сканирования Примечание. Масштабированная величина радиуса сферической Земли либо большой или малой оси сплюснутого сфероида Земли рассчитывается посредством умножения соответствующего масштабного коэффициента на величину, выраженную в метрах.,см. таблицу флагов 3.4,,3.4,,Original
