ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/1001/10,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Experimental,PDF
grib2/4/1001/11,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Experimental,PDF
grib2/4/1001/12,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Experimental,PDF
grib2/4/1001/13,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Experimental,PDF
grib2/4/1001/14,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",14,1,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,Experimental,PDF
grib2/4/1001/15-16,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",15-16,2,Часы отсечения данных после времени начала отсчета,см. примечание 1,33,,,Experimental,PDF
grib2/4/1001/17,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",17,1,Минуты отсечения данных после времени начала отсчета,,,,,Experimental,PDF
grib2/4/1001/18,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",18,1,Указатель единицы временного диапазона (продолж.) (Образец определения продукции 4.1001 — продолж.),см. кодовую таблицу 4.4,,4.4,,Experimental,PDF
grib2/4/1001/19-22,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",19-22,4,Период действия прогноза в единицах,определенных в октете 18,,,,Experimental,PDF
grib2/4/1001/23-26,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",23-26,4,Общее количество значений данных,отсутствующих в статистическом процессе,,,,Experimental,PDF
grib2/4/1001/27,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",27,1,Статистический процесс,используемый для расчета обработанного поля на основе поля за каждый инкремент времени в течение временного диапазона (см. кодовую таблицу 4.10),,4.10,,Experimental,PDF
grib2/4/1001/28,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",28,1,Тип инкремента времени между последовательными полями,используемыми в статистическом процессе (см. кодовую таблицу 4.11),,4.11,,Experimental,PDF
grib2/4/1001/29,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",29,1,Указатель единицы времени для временного диапазона,за который проводится статистическая обработка (см. кодовую таблицу 4.4),,4.4,,Experimental,PDF
grib2/4/1001/30-33,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",30-33,4,Продолжительность временного диапазона,за который проводится статистическая обработка,,,,Experimental,PDF
grib2/4/1001/34,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",34,1,Указатель единицы времени для инкремента между используемыми последовательными полями (см. кодовую таблицу 4.4),,,4.4,,Experimental,PDF
grib2/4/1001/35-38,"Образец определения продукции 4.1001 — разрез анализа или прогноза, усредненного или",35-38,4,Инкремент времени между последовательными полями в единицах,определенных в предыдущем октете (см. примечание 2),7,,,Experimental,PDF
