ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/55/10,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/55/11,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/55/12,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,12,1,Классификация тайлов,см. кодовую таблицу 4.242,,4.242,,Operational,PDF
grib2/4/55/13,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,13,1,Общее количество (NT) пар тайл-атрибут (см. примечания 1 и 2),,"20,58",,,Operational,PDF
grib2/4/55/14,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,14,1,Количество использованных пространственных тайлов (NUT) (см. примечания 1 и 2),,"20,58",,,Operational,PDF
grib2/4/55/15,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,15,1,Индекс тайла (ITN = {1,…,58,см. примечание 1,,Operational,PDF
grib2/4/55/16,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,16,1,Количество использованных атрибутов тайла (NAT) для индекса тайла ITN,см. примечание 1,58,1,,Operational,PDF
grib2/4/55/17,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,17,1,Атрибут тайла (см. кодовую таблицу 4.241) (A = {A(1),…,58,см. примечание 1,,Operational,PDF
grib2/4/55/18,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,18,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/55/19,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,19,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/55/20,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,20,1,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/55/21-22,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,21-22,2,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 3,33,3,,Operational,PDF
grib2/4/55/23,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,23,1,Минуты отсечения данных наблюдений после времени начала отсчета (продолж.) (Образец определения продукции 4.55 — продолж.),,,,,Operational,PDF
grib2/4/55/24,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,24,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/55/25-28,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,25-28,4,Период действия прогноза в единицах,определенных в октете 24,,,,Operational,PDF
grib2/4/55/29,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,29,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/55/30,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,30,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/55/31-34,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,31-34,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/55/35,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,35,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/55/36,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,36,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/55/37-40,Образец определения продукции 4.55 — пространственно-временные изменения тайлов,37-40,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
