ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/11/10,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/11/11,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/11/12,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/11/13,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/11/14,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",14,1,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/11/15-16,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",15-16,2,–16 Часы отсечения данных после времени начала отсчета,см. примечание 1,33,,,Operational,PDF
grib2/4/11/17,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",17,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/11/18,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",18,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/11/19-22,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",19-22,4,Период действия прогноза в единицах,определенных в октете 18,111,,,Operational,PDF
grib2/4/11/23,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",23,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/11/24,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",24,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/11/25-28,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",25-28,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/11/29,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",29,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/11/30,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",30,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/11/31-34,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",31-34,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/11/35,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",35,1,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,4.6,,Operational,PDF
grib2/4/11/36,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",36,1,Номер возмущения,,,,,Operational,PDF
grib2/4/11/37,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",37,1,Количество прогнозов в ансамбле,,,,,Operational,PDF
grib2/4/11/38-39,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",38-39,2,Год окончания всего временного интервала,,,,,Operational,PDF
grib2/4/11/40,"Образец определения продукции 4.11 — индивидуальный ансамблевый прогноз, проконтро-",40,1,Месяц окончания всего временного интервала,,,,,Operational,PDF
