Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,12–15,,Величина начала отсчета (R) (32-битовая величина в стандарте IEEE с плавающей запятой),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,16–17,,Двоичный масштабный коэффициент (E),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,18–19,,Десятичный масштабный коэффициент (D),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,20,,Количество битов, используемых для каждой упакованной величины (ширина поля),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,21,,Вид суб-усечения двумерного Фурье,см. кодовую таблицу 5.25,,5.25,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,22,,Режим упаковки для осей,см. кодовую таблицу 5.26,,5.26,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,23–26,,P — масштабный коэффициент Лапласа (выраженный в единицах 10-6) NS — параметр разрешения двумерного Фурье неупакованного подкомплекта 27–28 (см. примечание 1),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,29–30,,MS — параметр разрешения двумерного Фурье неупакованного подкомплекта (см. примечание 1),,,,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,31–34,,TS — общее количество величин в неупакованном подкомплекте,см. примечание 1,,1,,operational
Образец представления данных 5.53 — спектральные данные для моделей ограниченной,35,,Точность неупакованного подкомплекта,см. кодовую таблицу 5.7,,5.7,,operational
