Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,15,,Вид спектрального представления данных,см. кодовую таблицу 3.6,,3.6,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,16–19,,N — параметр разрешения двумерного Фурье,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,20–23,,M — параметр разрешения двумерного Фурье,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,24,,Вид усечения двумерного Фурье,см. кодовую таблицу 3.25,,3.25,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,25–32,,Lx — размер области в метрах по оси х,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,33–40,,Lux — размер подобласти модельного прогноза в метрах по оси х,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,41–48,,Lcx — ширина области сопряжения области прогноза в метрах по оси х,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,49–56,,Ly — размер области в метрах по оси y,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,57–64,,Luy — размер подобласти модельного прогноза в метрах по оси y,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,65–72,,Lcy — ширина области сопряжения области прогноза в метрах по оси y,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,73,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,74,,Масштабный коэффициент радиуса сферической Земли,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,75–78,,Масштабированная величина радиуса сферической Земли (продолж.) (Образец определения сетки 3.61— продолж.),,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,79,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,80–83,,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,84,,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,85–88,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,89–92,,La1 — широта первого узла сетки,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,93–96,,Lo1 — долгота первого узла сетки,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,97–100,,LaD — широта(ы), на которой проекция Меркатора пересекается с Землей (широта(ы), на которой определены Di и Dj),,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,101–104,,La2 — широта последнего узла сетки,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,105–108,,Lo2 — долгота последнего узла сетки,,,,,operational
Образец определения сетки 3.61 — с пектральная модель в проекции Меркатора с опреде-,109–112,,Ориентация сетки, угол между направлением i на карте и экватором (см. примечание) Примечание: ограничен диапазоном 0—90 градусов.,,,,,operational
