ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/59/10,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",10,1,Номер параметра,см. кодовую таблицу 4.2,,4.1,,Operational,PDF
grib2/4/59/11,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",11,1,Классификация тайлов,см. кодовую таблицу 4.242,,4.2,,Operational,PDF
grib2/4/59/12,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",12,1,Общее количество (NT) пар тайл-атрибут (см. примечания 1 и 2),,,4.242,,Operational,PDF
grib2/4/59/13,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",13,1,Количество использованных пространственных тайлов (NUT) (см. примечания 1 и 2),,"20,58",,,Operational,PDF
grib2/4/59/14,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",14,1,Индекс тайла (ITN = {1,…,"20,58",,,Operational,PDF
grib2/4/59/15,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",15,1,Количество использованных атрибутов тайла (NAT) для ITN тайла,см. примечание 1,58,,,Operational,PDF
grib2/4/59/16,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",16,1,Атрибут тайла (см. кодовую таблицу 4.241) (A = {A(1),…,58,,,Operational,PDF
grib2/4/59/17,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",17,1,Тип процесса подготовки,см. кодовую таблицу 4.3,58,4.241,,Operational,PDF
grib2/4/59/18,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",18,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,4.3,,Operational,PDF
grib2/4/59/19,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",19,1,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/59/20,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",20,1,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 3,,,,Operational,PDF
grib2/4/59/21-22,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",21-22,2,Минуты отсечения данных наблюдений после времени начала отсчета,,33,,,Operational,PDF
grib2/4/59/23,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",23,1,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,,,Operational,PDF
grib2/4/59/24,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",24,1,Период действия прогноза в единицах,определенных в октете 24 (продолж.) (Образец определения продукции 4.59 — продолж.),,4.4,,Operational,PDF
grib2/4/59/25-28,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",25-28,4,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,,,Operational,PDF
grib2/4/59/29,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",29,1,Масштабный коэффициент первой фиксированной поверхности,,,4.5,,Operational,PDF
grib2/4/59/30,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",30,1,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/59/31-34,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",31-34,4,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,,,Operational,PDF
grib2/4/59/35,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",35,1,Масштабный коэффициент второй фиксированной поверхности,,,4.5,,Operational,PDF
grib2/4/59/36,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",36,1,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/59/37-40,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",37-40,4,Тип ансамблевого прогноза,см. кодовую таблицу 4.6,,,,Operational,PDF
grib2/4/59/41,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",41,1,Номер возмущения,,,4.6,,Operational,PDF
grib2/4/59/42,"Образец определения продукции 4.59 — индивидуальный ансамблевый прогноз, проконтро-",42,1,Количество прогнозов в ансамбле,,,,,Operational,PDF
