ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/91/10,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/91/11,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/91/12,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/91/13,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/91/14,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,14,1,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/91/15-16,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,15-16,2,Часы отсечения данных после времени начала отсчета,см. примечание 1,33,1,,Operational,PDF
grib2/4/91/17,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,17,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/91/18,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,18,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/91/19-22,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,19-22,4,Период действия прогноза в единицах,определенных в октете 18,111,,2,Operational,PDF
grib2/4/91/23,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,23,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/91/24,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,24,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/91/25-28,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,25-28,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/91/29,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,29,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/91/30,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,30,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/91/31-34,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,31-34,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/91/35,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,35,1,NC — количество категорий,,,,,Operational,PDF
grib2/4/91/36-,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,36-,,Повторить следующие 12 октетов для каждой категории (i = 1,NC) (продолж.) (Образец определения продукции 4.91 — продолж.),,,,,PDF
grib2/4/91/60-71,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,60-71,,Спецификация наиболее удаленного (или единственного) временного диапазона,за который проводится статистическая обработка (60+12(NC–1)) Статистический процесс,,используемыми в статистической обработке (см. кодовую таблицу 4.11) (62+12(NC–1)) Указатель единицы времени для временного диапазона,за который проводится статистическая обработка (см. кодовую таблицу 4.4) (63+12(NC–1))–(66+12(NC–1)) Продолжительность временного диапазона,,PDF
grib2/4/91/72-nn,Образец определения продукции 4.91 — категориальные прогнозы по горизонтальному,72-nn,,Эти октеты включаются,только если n>1,,следующий наиболее удаленный шаг обработки (84+12(NC–1))–nn Дополнительные спецификации временного диапазона,включенные в соответствии с величиной n. Содержание как в октетах (60+12(NC–1))–(71+12(NC–1)),,PDF
