Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,12–13,,Тип аэрозоля,см. кодовую таблицу 4.233,,4.233,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,14,,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,15,,Масштабный коэффициент первого размера,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,16–19,,Масштабированная величина первого размера в метрах,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,20,,Масштабный коэффициент второго размера,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,21–24,,Масштабированная величина второго размера в метрах,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,25,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,26,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,27,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,28–29,,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 1,,1,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,30,,Минуты отсечения данных наблюдений после времени начала отсчета,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,31,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,32–33,,Период действия прогноза в единицах, определенных в октете 31,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,34,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,35,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,36–39,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,40,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,41,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.44 — анализ или прогноз по горизонтальному уровню или,42–45,,Масштабированная величина второй фиксированной поверхности (продолж.) (Образец определения продукции 4.44 — продолж.),,,,,operational
