ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/15/10,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/15/11,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/15/12,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/15/13,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/15/14,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",14,1,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/15/15-16,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",15-16,2,Часы отсечения данных наблюдений после времени отсчета (см. примечание),,33,,,Operational,PDF
grib2/4/15/17,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",17,1,Минуты отсечения данных наблюдений после времени отсчета,,,,,Operational,PDF
grib2/4/15/18,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",18,1,Указатель единицы измерения временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/15/19-22,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",19-22,4,Период действия прогноза в единицах,определенных в октете 18,,,,Operational,PDF
grib2/4/15/23,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",23,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/15/24,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",24,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/15/25-28,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",25-28,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/15/29,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",29,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/15/30,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",30,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/15/31-34,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",31-34,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/15/35,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",35,1,Статистический процесс,используемый в пространственной области,,4.10,,Operational,PDF
grib2/4/15/36,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",36,1,Тип пространственной обработки,используемой для достижения полученного значения данных на основе исходных данных (см. кодовую таблицу 4.15),,4.15,,Operational,PDF
grib2/4/15/37,"Образец определения продукции 4.15 — средние, экстремальные значения, значения",37,1,Количество точек данных,используемых в пространственной обработке,,,,Operational,PDF
