Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,14,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,15–16,,Часы отсечения данных после времени начала отсчета,см. примечание 1,,1,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,17,,Минуты отсечения данных после времени начала отсчета,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,19–22,,Период действия прогноза в единицах, определенных в октете 18,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,31–34,,Масштабированная величина второй фиксированной поверхности,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,35,,Тип прогноза по ансамблю,см. кодовую таблицу 4.6,,4.6,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,36,,Номер возмущения,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,37,,Количество прогнозов в ансамбле,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,38–39,,Год в дате версии модели,см. примечание 2,,2,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,40,,Месяц в дате версии модели,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,41,,День в дате версии модели,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,42,,Час в дате версии модели,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,43,,Минуты в дате версии модели,,,,,operational
Образец определения продукции 4.60 — индивидуальный ансамблевый повторный прогноз,,44,,Секунды в дате версии модели (продолж.) (Образец определения продукции 4.60 — продолж.),,,,,operational
