ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/62/15,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,15,1,Вид спектрального представления данных,см. кодовую таблицу 3.6,,3.6,,Operational,PDF
grib2/3/62/16-19,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,16-19,4,N — параметр разрешения двумерного Фурье,,,,,Operational,PDF
grib2/3/62/20-23,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,20-23,4,M — параметр разрешения двумерного Фурье,,,,,Operational,PDF
grib2/3/62/24,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,24,1,Вид усечения двумерного Фурье,см. кодовую таблицу 3.25,,3.25,,Operational,PDF
grib2/3/62/25-32,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,25-32,8,Lx — размер области в метрах по оси х,,,,,Operational,PDF
grib2/3/62/33-40,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,33-40,8,Lux — размер подобласти модельного прогноза в метрах по оси х,,,,,Operational,PDF
grib2/3/62/41-48,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,41-48,8,Lcx — ширина области сопряжения области прогноза в метрах по оси х,,,,,Operational,PDF
grib2/3/62/49-56,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,49-56,8,Ly — размер области в метрах по оси y,,,,,Operational,PDF
grib2/3/62/57-64,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,57-64,8,Luy — размер подобласти модельного прогноза в метрах по оси y,,,,,Operational,PDF
grib2/3/62/65-72,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,65-72,8,Lcy — ширина области сопряжения области прогноза в метрах по оси y,,,,,Operational,PDF
grib2/3/62/73,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,73,1,Форма Земли,см. кодовую таблицу 3.2,,3.2,,Operational,PDF
grib2/3/62/74,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,74,1,Масштабный коэффициент радиуса сферической Земли,,,,,Operational,PDF
grib2/3/62/75-78,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,75-78,4,Масштабированная величина радиуса сферической Земли,,,,,Operational,PDF
grib2/3/62/79,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,79,1,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/62/80-83,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,80-83,4,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/62/84,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,84,1,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/62/85-88,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,85-88,4,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/62/89-92,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,89-92,4,La1 — широта первого узла сетки,,,,,Operational,PDF
grib2/3/62/93-96,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,93-96,4,Lo1 — долгота первого узла сетки,,,,,Operational,PDF
grib2/3/62/97,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,97,1,Флаги разрешения и компонентов,см. таблицу флагов 3.3,,3.3,,Operational,PDF
grib2/3/62/98-101,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,98-101,4,LaD — широта,на которой определены Dx и Dy,,,,Operational,PDF
grib2/3/62/102-105,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,102-105,4,LoV — ориентация сетки,,,,,Operational,PDF
grib2/3/62/106,Образец определения сетки 3.62 — спектральная модель в полярной стереографической,106,1,Центр проекции,см. таблицу флагов 3.5,,,3.5,Operational,PDF
