ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/4/80/10,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/80/11,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/80/12-13,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,12-13,2,Тип аэрозоля (см. общую кодовую таблицу C–14),,,,,Operational,PDF
grib2/4/80/14,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,14,1,Источник или поглотитель,см. кодовую таблицу 4.238,,4.238,,Operational,PDF
grib2/4/80/15,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,15,1,Тип интервала для первого и второго размеров,см. кодовую таблицу 4.91,,4.91,,Operational,PDF
grib2/4/80/16,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,16,1,Масштабный коэффициент первого размера,,,,,Operational,PDF
grib2/4/80/17-20,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,17-20,4,Масштабированная величина первого размера в метрах,,,,,Operational,PDF
grib2/4/80/21,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,21,1,Масштабный коэффициент второго размера,,,,,Operational,PDF
grib2/4/80/22-25,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,22-25,4,Масштабированная величина второго размера в метрах,,,,,Operational,PDF
grib2/4/80/26,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,26,1,Тип интервала для первой и второй длин волн,см. кодовую таблицу 4.91,,4.91,,Operational,PDF
grib2/4/80/27,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,27,1,Масштабный коэффициент первой длины волны,,,,,Operational,PDF
grib2/4/80/28-31,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,28-31,4,Масштабированная величина первой длины волны в метрах,,,,,Operational,PDF
grib2/4/80/32,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,32,1,Масштабный коэффициент второй длины волны,,,,,Operational,PDF
grib2/4/80/33-36,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,33-36,4,Масштабированная величина второй длины волны в метрах,,,,,Operational,PDF
grib2/4/80/37,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,37,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/80/38,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,38,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/80/39,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,39,1,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/80/40-41,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,40-41,2,Часы отсечения данных после времени начала отсчета (см. примечание),,33,,,Operational,PDF
grib2/4/80/42,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,42,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/80/43,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,43,1,Указатель единицы временно́го диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/80/44-47,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,44-47,4,Период действия прогноза в единицах,определенных в октете 42,,,,Operational,PDF
grib2/4/80/48,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,48,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/80/49,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,49,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/80/50-53,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,50-53,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/80/54,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,54,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/80/55,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,55,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/80/56-59,Образец определения продукции 4.80 — анализ или прогноз по горизонтальному уровню или,56-59,4,Масштабированная величина второй фиксированной поверхности Примечание: часы,превышающие 65534,,,,Operational,PDF
