ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/5/2/12-21,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,12-21,10,То же,что и в образце представления данных 5.0,,,,Operational,PDF
grib2/5/2/22,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,22,1,Используемый метод разбивки на группы,см. кодовую таблицу 5.4,,5.4,,Operational,PDF
grib2/5/2/23,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,23,1,Используемый метод обращения с отсутствующими значениями,см. кодовую таблицу 5.5,,5.5,,Operational,PDF
grib2/5/2/24-27,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,24-27,4,Замена первичных отсутствующих значений,,,,,Operational,PDF
grib2/5/2/28-31,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,28-31,4,Замена вторичных отсутствующих значений,,,,,Operational,PDF
grib2/5/2/32-35,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,32-35,4,NG — количество групп значений данных,на которые разбито поле,,,,Operational,PDF
grib2/5/2/36,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,36,1,Величина начала отсчета для ширины группы,см. примечание 12,79,12,,Operational,PDF
grib2/5/2/37,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,37,1,Количество битов,используемых в ширине группы (после вычитания величины начала отсчета,,,,Operational,PDF
grib2/5/2/38-41,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,38-41,4,Величина начала отсчета для длины групп,см. примечание 13,78,13,,Operational,PDF
grib2/5/2/42,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,42,1,Инкремент длины для длины групп,см. примечание 14,76,14,,Operational,PDF
grib2/5/2/43-46,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,43-46,4,Истинная длина последней группы,,,,,Operational,PDF
grib2/5/2/47,Образец представления данных 5.2 — данные в узлах сетки — сложная упаковка,47,1,Количество битов,используемых для масштабированных длин групп (после вычитания величины начала отсчета,,и деления на инкремент длины,данный в октете 42),Operational,PDF
