ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/31/15,Образец определения сетки 3.31 — равновеликая проекция Альберса,15,,Форма Земли,см. кодовую таблицу 3.2,,3.2,,operational,Original
grib2/3/31/16,Образец определения сетки 3.31 — равновеликая проекция Альберса,16,,Масштабный коэффициент радиуса сферической Земли,,,,,operational,Original
grib2/3/31/17-20,Образец определения сетки 3.31 — равновеликая проекция Альберса,17–20,,Масштабированная величина радиуса сферической Земли,,,,,operational,Original
grib2/3/31/21,Образец определения сетки 3.31 — равновеликая проекция Альберса,21,,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/31/22-25,Образец определения сетки 3.31 — равновеликая проекция Альберса,22–25,,Масштабированная величина в оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/31/26,Образец определения сетки 3.31 — равновеликая проекция Альберса,26,,Масштабный фактор малой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/31/27-30,Образец определения сетки 3.31 — равновеликая проекция Альберса,27–30,,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,operational,Original
grib2/3/31/31-34,Образец определения сетки 3.31 — равновеликая проекция Альберса,31–34,,Nx — количество узлов по оси х,,,,,operational,Original
grib2/3/31/35-38,Образец определения сетки 3.31 — равновеликая проекция Альберса,35–38,,Ny — n количество узлов по оси у,,,,,operational,Original
grib2/3/31/39-42,Образец определения сетки 3.31 — равновеликая проекция Альберса,39–42,,La1 — широта первого узла сетки,,,,,operational,Original
grib2/3/31/43-46,Образец определения сетки 3.31 — равновеликая проекция Альберса,43–46,,Lo1 — долгота первого узла сетки,,,,,operational,Original
grib2/3/31/47,Образец определения сетки 3.31 — равновеликая проекция Альберса,47,,Флаги разрешения и компонентов,см. таблицу флагов 3.3,,3.3,,operational,Original
grib2/3/31/48-51,Образец определения сетки 3.31 — равновеликая проекция Альберса,48–51,,LaD — широта, на которой определены Dx и Dy,,,,,Original
grib2/3/31/52-55,Образец определения сетки 3.31 — равновеликая проекция Альберса,52–55,,LoV — долгота меридиана, параллельного оси y, вдоль которого долгота увеличивается по мере увеличения координаты y,,,,Original
grib2/3/31/56-59,Образец определения сетки 3.31 — равновеликая проекция Альберса,56–59,,Dx — шаг сетки в направлении x,см. примечание 1,,1,,operational,Original
grib2/3/31/60-63,Образец определения сетки 3.31 — равновеликая проекция Альберса,60–63,,Dy — шаг сетки в направлении y,см. примечание 1,,1,,operational,Original
grib2/3/31/64,Образец определения сетки 3.31 — равновеликая проекция Альберса,64,,Центр проекции,см. таблицу флагов 3.5,,3.5,,operational,Original
grib2/3/31/65,Образец определения сетки 3.31 — равновеликая проекция Альберса,65,,Режим сканирования,см. таблицу флагов 3.4,,3.4,,operational,Original
grib2/3/31/66-69,Образец определения сетки 3.31 — равновеликая проекция Альберса,66–69,,Latin 1 — первая широта от полюса, на которой секущий конус пересекает сферу,,,,,Original
grib2/3/31/70-73,Образец определения сетки 3.31 — равновеликая проекция Альберса,70–73,,Latin 2 — вторая широта от полюса, на которой секущий конус пересекает сферу,,,,,Original
grib2/3/31/74-77,Образец определения сетки 3.31 — равновеликая проекция Альберса,74–77,,Широта Южного полюса проекции,,,,,operational,Original
grib2/3/31/78-81,Образец определения сетки 3.31 — равновеликая проекция Альберса,78–81,,Долгота Южного полюса проекции,,,,,operational,Original
