ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/5/53/12-15,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,12-15,4,Величина начала отсчета (R) (32-битовая величина в стандарте IEEE с плавающей запятой),,,,,Operational,PDF
grib2/5/53/16-17,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,16-17,2,Двоичный масштабный коэффициент (E),,,,,Operational,PDF
grib2/5/53/18-19,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,18-19,2,Десятичный масштабный коэффициент (D),,,,,Operational,PDF
grib2/5/53/20,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,20,1,Количество битов,используемых для каждой упакованной величины (ширина поля),,,,Operational,PDF
grib2/5/53/21,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,21,1,Вид суб-усечения двумерного Фурье,см. кодовую таблицу 5.25,,5.25,,Operational,PDF
grib2/5/53/22,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,22,1,Режим упаковки для осей,см. кодовую таблицу 5.26,,5.26,,Operational,PDF
grib2/5/53/23-26,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,23-26,4,P — масштабный коэффициент Лапласа (выраженный в единицах 10-6) NS — параметр разрешения двумерного Фурье неупакованного подкомплекта 27–28,(см. примечание 1),,,,Operational,PDF
grib2/5/53/29-30,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,29-30,2,MS — параметр разрешения двумерного Фурье неупакованного подкомплекта,(см. примечание 1),120,,,Operational,PDF
grib2/5/53/31-34,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,31-34,4,TS — общее количество величин в неупакованном подкомплекте,см. примечание 1,120,1,,Operational,PDF
grib2/5/53/35,Образец представления данных 5.53 — спектральные данные для моделей ограниченной,35,1,Точность неупакованного подкомплекта,см. кодовую таблицу 5.7,,5.7,,Operational,PDF
