ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/0/10,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,10,,Категория параметра,см. кодовую таблицу 4.1,,4.1,,operational,Original
grib2/4/0/11,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,11,,Номер параметра,см. кодовую таблицу 4.2,,4.2,,operational,Original
grib2/4/0/12,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,12,,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,operational,Original
grib2/4/0/13,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,13,,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,operational,Original
grib2/4/0/14,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,14,,Указатель процесса проведения анализа или подготовки прогноза (определяется центром-поставщиком),,,,,operational,Original
grib2/4/0/15-16,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,15–16,,Часы отсечения данных наблюдений после времени начала отсчета (см. примечание),,,,,operational,Original
grib2/4/0/17,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,17,,Минуты отсечения данных наблюдений после времени начала отсчета,,,,,operational,Original
grib2/4/0/18,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,18,,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,operational,Original
grib2/4/0/19-22,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,19–22,,Период действия прогноза в единицах, определенных в октете 18,,,,,Original
grib2/4/0/23,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,23,,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,Original
grib2/4/0/24,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,24,,Масштабный коэффициент первой фиксированной поверхности,,,,,operational,Original
grib2/4/0/25-28,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,25–28,,Масштабированная величина первой фиксированной поверхности,,,,,operational,Original
grib2/4/0/29,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,29,,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,operational,Original
grib2/4/0/30,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,30,,Масштабный коэффициент второй фиксированной поверхности,,,,,operational,Original
grib2/4/0/31-34,Образец определения продукции 4.0 — анализ или прогноз по горизонтальному уровню или,31–34,,Масштабированная величина второй фиксированной поверхности Примечание. Часы, превышающие 65534, будут кодироваться как 65534.,,,,Original
